"","X","nid_id","lat","lon","river","purpose","yr_comp","res_age","hydr_hght","max_dis","max_stor","norm_stor","surf_area_km2","res_perim_km","sdi","mean_depth","mean_max_depth_ratio","mean_q","drain_area_km2","catch_surf_area_ratio","rel_depth_perc","lake_vol_m3","elev","reach_code","e2rf1","mean_v","strahler","water","wetlands","urb_grass","lo_urb_dev","hi_urb_dev","industry","for_dec","for_ever","for_mixed","shrub","grass","pasture","crops","orchards","barren","tn_bg_kg_km2_yr","tp_bg_kg_km2_yr","tn_bg_kg_km2_yr_atom","tn_kg_km2_yr","tp_kg_km2_yr","tn_point","tp_point","tn_fert","tp_fert","tn_ag_anml","tp_ag_anml","tn_forest","tp_forest","tn_barren","tp_barren","tn_shrub","tp_shrub","tn_grass","tp_grass","tn_frac","tp_frac","WinT_rcp85","WintT_abs","WinT_hist","SumT_hist","SumT_rcp85","SumT_abs","US_L3CODE","US_L3NAME","Histprecip","RCP85precip","ABSprecip","RESID","STATE","RESINFO","RESNAME1","LONGITUDE","LATITUDE","CLUSID","SHALLOW","MUDFLAT","BKWATER","CONN_BW","CONN_TR","N_STRUC","SHAL_LZ","DIST_RZ","X_NUTRI","ALGAE","SEDIMEN","SHOREER","NOCOVES","SHOREHO","SUBSTHO","X_MACRO","N_MACRO","NN_PLNT","NN_ANIM","DEEP_LZ","N_SHADE","N_ALLOC","WS_AGRI","WS_ANIM","WS_LOGS","WS_MINE","WS_URBN","N_NUTRI","IN_TURB","OR_TURB","VAR_TUR","VAR_DO2","O_STRAT","HI_TEMP","LO_TEMP","T_STRAT","DESTRAT","THERMAL","CONTAMN","POLL_PS","POLLNPS","HYDROGR","RESIDUP","LOWRETE","LOWSTOR","WL_SEAS","WL_DROP","WL_LONG","WLSHORT","WL_FAST","DIST_UP","DIST_AD","SS","PreySS","PredSS","PPratio","ExoticSS","Richness","Evenness","NatStock","Nnatstock","IntrodUndes","Fishkills","FishPres","CatchRate","FishSize","CatchVar","AnglerSatis","FreqTourn","RatioFishing","SPP1comp","LargeFish","StockedFish","PopDen","SizeStruc","Condition","GRate","NatMort","R_age1","R_adult","CRA","BAS","PIK","PER","CAT","SUN","MOR","TRT","SAL","distance"
"11",20,"AL01420",33.94167,-87.10833,"SIPSEY FORK/WARRIOR","HCNR",1961,54,210,317800,1670600,1390000,104.004302,874.9523249,24.2021322,65.00374182,0.309541628,249.591,2444.95056,23.50817121,0.172176275,1714537200,NA,3.16e+12,9703,1.12,2,1.4,0,0.3,0.2,0,0.4,31.7,23.4,26.1,0,0,7.2,1.6,0,7.7,87,10,119,807,70,5,7,10,3,30,64,21,19,8,7,0,0,0,0,0.67842,0.21207,12.02,3.53,8.48,25.99,30.83,4.84,68,"Southwestern Appalachians",1438.69,1485.93,47.24,"AL20","AL",20,"Smith Lake",-87.1083,33.9417,"SAP                1",0,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,0,0,1,1,2,1,1,2,1,1,2,1,2,0,0,1,0,0,1,1,1,1,0,0,0,3,3,3,3,1,2,2,2,2,2,3,1,3,3,3,1,1,1,3,3,3,3,3,3,3,1,1,1,2,2,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0.00433187436136001
"12",21,"AL01421",32.5744,-85.8893,"TALLAPOOSA","HR",1928,87,61,326500,54000,54000,8.09372,NA,NA,26.99993802,0.442621935,NA,8417.4675,1040,0.256359421,66607920,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,3.35,10.22,26.49,31.15,4.66,45,"Piedmont",1204.47,1274.98,70.51,"AL33","AL",33,"Thurlow",-85.8883,32.535,"CPL                1",1,1,1,1,1,2,1,2,0,0,1,1,2,1,1,3,0,0,0,1,1,0,1,1,2,1,2,4,1,1,2,1,1,0,5,1,0,5,1,1,1,1,4,2,3,2,0,0,2,2,2,1,2,1,2,2,1,2,3,3,1,1,2,1,1,2,3,3,1,4,1,2,1,2,2,1,1,3,4,4,0,1,0,0,0,0,0,0,0,4.37033386557722
"13",21,"AL01421",32.5744,-85.8893,"TALLAPOOSA","HR",1928,87,61,326500,54000,54000,8.09372,NA,NA,26.99993802,0.442621935,NA,8417.4675,1040,0.256359421,66607920,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,3.35,10.22,26.49,31.15,4.66,45,"Piedmont",1204.47,1274.98,70.51,"AL47","AL",47,"Yates",-85.8893,32.5744,"SAP                1",1,1,1,1,2,2,1,1,0,0,2,1,1,1,1,0,2,0,1,2,1,1,1,0,3,1,1,5,2,0,2,2,1,0,5,1,0,5,0,1,1,1,5,3,4,2,0,0,4,3,2,2,2,1,2,2,1,2,2,3,1,1,2,1,2,2,3,3,1,4,2,1,1,1,2,2,1,2,4,4,0,1,0,0,0,0,0,0,0,0
"14",22,"AL01422",32.535,-85.88834,"TALLAPOOSA","HR",1930,85,45.85,430000,18250,18250,2.32289764,NA,NA,31.7943521,0.693442794,NA,8546.967,3679.442509,0.563502109,22511010,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,3.35,10.45,26.74,31.4,4.66,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL33","AL",33,"Thurlow",-85.8883,32.535,"CPL                1",1,1,1,1,1,2,1,2,0,0,1,1,2,1,1,3,0,0,0,1,1,0,1,1,2,1,2,4,1,1,2,1,1,0,5,1,0,5,1,1,1,1,4,2,3,2,0,0,2,2,2,1,2,1,2,2,1,2,3,3,1,1,2,1,1,2,3,3,1,4,1,2,1,2,2,1,1,3,4,4,0,1,0,0,0,0,0,0,0,0.00375761379208939
"15",22,"AL01422",32.535,-85.88834,"TALLAPOOSA","HR",1930,85,45.85,430000,18250,18250,2.32289764,NA,NA,31.7943521,0.693442794,NA,8546.967,3679.442509,0.563502109,22511010,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,3.35,10.45,26.74,31.4,4.66,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL47","AL",47,"Yates",-85.8893,32.5744,"SAP                1",1,1,1,1,2,2,1,1,0,0,2,1,1,1,1,0,2,0,1,2,1,1,1,0,3,1,1,5,2,0,2,2,1,0,5,1,0,5,0,1,1,1,5,3,4,2,0,0,4,3,2,2,2,1,2,2,1,2,2,3,1,1,2,1,2,2,3,3,1,4,2,1,1,1,2,2,1,2,4,4,0,1,0,0,0,0,0,0,0,4.37025474490541
"16",23,"AL01423",32.61867,-86.25833,"COOSA","HR",1928,87,89,595000,235000,235000,27.518648,177.9298175,9.568196327,34.55874419,0.388300497,16632.1,26327.24835,956.7058824,0.177952875,289867800,NA,3.15e+12,9818,3.49,4,1.7,0.8,0.4,1.1,0.2,0.7,33.8,18.7,26.2,0,0,9.9,4.7,0,1.7,76,14,105,553,37,15,15,20,10,20,48,20,25,2,2,0,0,0,0,0.9235,0.77845,13.91,3.37,10.54,26.85,31.53,4.68,45,"Piedmont",1204.47,1274.98,70.51,"AL17","AL",17,"Lake Jordan",-86.2583,32.6187,"SAP                1",1,2,1,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,0,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,4,4,3,4,2,4,4,2,1,1,3,4,4,4,3,4,5,4,3,3,1,4,5,5,5,3,2,2,0,1,0,0,0,0,0,0,0,0.0043584444605836
"17",24,"AL01424",32.805,-86.44666,"COOSA","HR",1923,92,60,510000,172000,172000,23.674131,199.3597056,11.55833431,29.4016419,0.490027365,16184.9,25451.83173,1075.090598,0.16322819,212158560,NA,3.15e+12,8360,3.46,4,1.7,0.8,0.4,1.1,0.2,0.7,33.9,18.8,26,0,0,10,4.6,0,1.8,76,14,105,559,37,15,15,20,9,20,49,20,25,2,2,0,0,0,0,0.92059,0.77671,13.56,3.4,10.16,26.57,31.26,4.69,45,"Piedmont",1204.47,1274.98,70.51,"AL25","AL",25,"Lake Mitchell",-86.4467,32.805,"SAP                1",0,2,1,1,4,1,1,3,1,0,4,1,2,2,2,2,0,2,1,1,1,0.736390118,1,1,3,1,1,0,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,4,4,3,3,2,3,3,2,2,1,3,4,3,4,4,3,4,4,2,3,1,4,4,4,4,3,2,2,0,1,0,0,0,0,0,0,0,0.00374632988925726
"18",25,"AL01425",32.68,-85.91167,"TALLAPOOSA","HCSR",1926,89,163,302000,1622000,1622000,161.8744,1220.170854,27.05368645,40.54990691,0.248772435,147.852,7769.97,48,0.086091719,2000704560,NA,3.15e+12,8438,0.71,3,0.2,4.3,0.2,0.4,0,0.2,23.8,30.5,31.6,0,0,5.4,3,0,0.5,71,19,96,318,26,8,10,13,11,7,26,35,51,1,1,0,0,0,0,0.76757,0.31255,13.38,3.36,10.02,26.25,30.91,4.66,45,"Piedmont",1204.47,1274.98,70.51,"AL23","AL",23,"Lake Martin",-85.9117,32.68,"SAP                1",1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,3,1,1,2,2,1,1.504322987,2,3,1,1,3,1,1,2,1,3,2,1,3,1,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,3,3,3,3,2,3,3,4,2,2,2,4,3,3,4,3,4,3,3,2,1,4,3,3,2,3,3,3,0,1,0,0,0,0,0,0,0,0.00281367321429639
"19",26,"AL01426",33.25333,-87.45,"BLACK WARRIOR RIVER","NHR",1968,47,108,639500,117990,117990,13.354638,111.3163121,8.592858118,35.75446337,0.331059846,6933.08,10927.16781,818.230303,0.264286395,145538305.2,57,3.16e+12,9061,2.62,4,1.5,0.2,0.6,1.7,0.4,1,34.6,16.8,25.4,0,0,10.8,5,0,2,83,11,111,794,64,19,20,16,5,28,57,16,16,2,1,0,0,0,0,0.89959,0.73333,13.15,3.5,9.65,26.77,31.6,4.83,68,"Southwestern Appalachians",1438.69,1485.93,47.24,"AL14","AL",14,"Holt Reservoir",-87.45,33.25333,"SAP                1",0,1,3,4,4,1.211024787,1,3,1,1,4,2.515466391,5,1,2,1,2,1,1,3,0,0,1,1,2,5,3,1,1,1,1,1,1,0,0,1,0,1,3,1,2,0,1,0,0,1,0,0,0,0,1,4,2,2,2,3,1,3,3,3,1,1,1,3,2,2,3,2,3,3,1,1,1,2,3,3,3,3,2,2,0,1,0,0,0,0,0,0,0,0
"20",27,"AL01427",33.45667,-87.355,"BLACK WARRIOR RIVER","NHR",1975,40,103,666000,296000,269215,37.4132207,195.2558087,9.005053675,32.01723315,0.310846924,3784.99,10310.75019,275.5911303,0.141394284,332071318.2,NA,3.16e+12,8961,2.11,4,1.6,0.3,0.2,0.4,0,0.4,35,17.6,25,0,0,11.8,5.4,0,2.2,81,11,109,823,77,7,7,17,4,37,72,17,15,2,2,0,0,0,0,0.87089,0.61409,12.48,3.51,8.97,26.35,31.21,4.86,68,"Southwestern Appalachians",1438.69,1485.93,47.24,"AL16","AL",16,"Bankhead Lake",-87.355,33.45667,"SAP                1",0,1,3,3,3,1,0.875573696,3,1,1,2,2,3,1,2,3,0,1,1,2,0,0,2,1,2,3,2,0,1,1,1,1,1,0,0,2,0,2,2,2,2,2,1,0,0,1,1,1,1,1,1,4,3,3,3,3,1,3,3,3,3,1,1,3,3,3,3,3,4,3,1,1,1,3,3,3,3,3,2,2,0,1,0,0,0,0,0,0,0,0
"21",28,"AL01429",32.77833,-87.84167,"BLACK WARRIOR RIVER","N",1958,57,65,53800,58650,49100,31.565508,24.7658923,1.243490522,7.519213507,0.115680208,9820.04,15047.8419,476.7179487,0.036151526,60563868,NA,3.16e+12,62522,2.95,4,1.6,3.3,0.5,1.5,0.4,0.9,32,16.7,26.1,0,0,9.9,5,0,2.1,68,13,91,624,43,19,21,16,6,25,52,17,19,2,2,0,0,0,0,0.95065,0.92109,13.74,3.47,10.26,27.22,32.05,4.83,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL2","AL",2,"Warrior Reservoir",-87.84167,32.77833,"CPL                3",0,2,1,1.403728051,3,1,1,3,3,1,3,3,2,0,1,1,0,1.453735598,1,1,0,0,2,1,2,4,2,0,2,2,1,1,1,0,0,2,1,1,1,2,2,0,2,2,0,0,0,0,0,0,2,1,3,3,3,3,1,3,3,3,3,1,1,3,3,3,1,4,3,3,1,2,1,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0
"22",29,"AL01430",32.52,-87.88,"TOMBIGBEE RIVER","N",1955,60,59,88000,150000,120000,40.4686,379.3976372,16.82404506,14.99996556,0.254236704,26734.4,39846.99615,984.64,0.06369301,148017600,NA,3.16e+12,9119,3.92,5,1.3,7.9,0.3,0.7,0.2,0.5,25.1,17.1,21.9,0,0,11.9,10.2,0,2.8,63,19,86,546,48,11,11,31,12,15,47,16,25,3,5,0,0,0,0,0.97682,0.94446,13.67,3.45,10.22,26.98,31.8,4.82,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL8","AL",8,"Demopolis Reservoir",-87.88,32.52,"CPL                3",2,2,0,0,2,0,2,2,2,1,3,3,2,2,1,2,0,1,1,0,0,0,2,2,2,1,1,0,1,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,4,4,4,3,2,4,3,3,1,1,1,3,4,3,3,4,4,4,1,2,1,4,3,4,4,3,3,4,0,1,0,0,0,0,0,0,0,0
"23",30,"AL01431",31.75667,-88.12833,"TOMBIGBEE RIVER","N",1962,53,52,71000,190800,190800,34.39831,379.3976372,18.24823899,22.44700729,0.431673217,26734.4,47699.84583,1386.691765,0.103383325,235347984,NA,3.16e+12,9119,3.92,5,1.3,7.9,0.3,0.7,0.2,0.5,25.1,17.1,21.9,0,0,11.9,10.2,0,2.8,63,19,86,546,48,11,11,31,12,15,47,16,25,3,5,0,0,0,0,0.97682,0.94446,14.61,3.37,11.24,26.99,31.63,4.64,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL7","AL",7,"Coffeeville",-88.12833,31.75667,"CPL                4",1,1,2,3,3,4,2,4,4,2,4,4,4,4,4,4,1,3,3,2,3,1,3,3,4,1,2,1,4,4,4,2,1,4,0,1,1,3,3,3,4,2,3,2,2,4,1,1,3,3,4,4,3,4,3,4,3,4,3,3,1,3,1,2,3,3,3,2,1,3,2,1,1,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0
"24",31,"AL01432",31.62667,-85.06333,"CHATTAHOOCHEE RIVER","NHRC",1962,53,101,631500,934400,934000,182.8411817,539.3712821,11.25241396,20.68121234,0.204764479,8589.21,19321.3254,105.6727385,0.041314223,1152070320,NA,3.13e+12,9744,3.43,3,2.4,2.6,0.8,3.6,0.9,1.8,31.8,19.4,23.6,0,0,6.6,3.9,0,2.7,74,23,100,555,36,43,47,8,6,15,21,14,21,2,4,0,0,0,0,0.85408,0.34397,15.31,3.24,12.07,27.07,31.53,4.46,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL37","AL",37,"Lake Eufaula",-85.06333,31.62667,"CPL                4",3,2,3,3,3,2,3,4,4,2,4,4,4,3,2,3,1,4,3,1,3,1,4,3,4,1,3,1,3,3,3,2,3,4,2,4,3,2,3,3,4,1,2,3,2,2,3,2,4,3,4,2,5,4,4,4,3,3,3,2,4,3,2,4,4,4,3,3,5,3,4,3,1,4,4,4,4,3,3,3,0,1,0,0,0,0,0,0,0,0
