FID,Field1,nid_id,lat,lon,river,purpose,yr_comp,res_age,hydr_hght,max_dis,max_stor,norm_stor,surf_area_,res_perim_,sdi,mean_depth,mean_max_d,mean_q,drain_area,catch_surf,rel_depth_,lake_vol_m,elev,reach_code,e2rf1,mean_v,strahler,water,wetlands,urb_grass,lo_urb_dev,hi_urb_dev,industry,for_dec,for_ever,for_mixed,shrub,grass,pasture,crops,orchards,barren,tn_bg_kg_k,tp_bg_kg_k,tn_bg_kg_1,tn_kg_km2_,tp_kg_km2_,tn_point,tp_point,tn_fert,tp_fert,tn_ag_anml,tp_ag_anml,tn_forest,tp_forest,tn_barren,tp_barren,tn_shrub,tp_shrub,tn_grass,tp_grass,tn_frac,tp_frac,WinT_rcp85,WintT_abs,WinT_hist,SumT_hist,SumT_rcp85,SumT_abs,US_L3CODE,US_L3NAME,Histprecip,RCP85preci,ABSprecip,NAME
10,452,CO01036,40.79167,-106.9472,WILLOW CREEK,R,1966,49,96,6630,36900,23064,4.09137546,20.01393468,2.791211213,36.49843253,0.38218254,78.8848,92.02153533,22.49159248,0.487416412,28448983,NA,1.41E+13,42080,0.88,1,2.3,0,0,0,0,0.1,37.3,45.1,4.9,4,6,0.1,0,0,0.7,78,10,96,141,5,1,2,0,0,0,0,58,81,2,0,2,4,2,11,0,0,0.6,4.8,-4.21,15.04,20.09,5.04,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
11,454,CO01084,37.79083,-108.2908,GROUNDHOG CREEK,IPRF,1939,76,121,10000,27500,22000,2.2055387,13.84604951,2.630046519,50.45859976,0.417013221,11.5558,41.180841,18.67155963,0.917779719,27136560,8720,1.4E+13,41745,0.39,1,4.8,0,0,0,0,0,74.1,10,1.9,3,5,0.8,0,0,0,34,4,44,83,2,0,0,2,2,0,1,61,83,0,0,2,4,2,10,0,0,1.91,4.91,-3.01,14.12,19.12,5,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
12,478,CO01656,40.135,-105.8367,COLORADO RIVER,IH,1949,66,221,12000,539760,539760,29.3802036,67.94626989,3.536169797,74.34693676,0.336411479,60.6539,484.32813,16.48484848,0.370506884,665783165,8280,1.4E+13,43196,0.79,1,15.5,0,0,0,0,0,5.3,51.1,0,15,14,0,0,0,0,115,13,150,150,10,0,1,0,0,0,0,33,54,0,0,8,19,4,26,0,0,-0.06,4.54,-4.6,13.9,18.81,4.91,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
13,479,CO01658,39.855,-106.3033,BLUE RIVER,IHR,1942,73,258,27000,161850,153640,8.59553064,34.11194276,3.282199681,76.20039004,0.295350349,553.207,1551.40401,180.4896422,0.702071674,189511867,7950,1.4E+13,41344,1.6,2,4.8,0,0.1,0.5,0,0.8,9.9,48,0.9,21,13,0.8,0,0,0.7,43,7,52,124,7,11,11,0,1,0,2,37,44,1,0,13,22,4,21,0,0,-1,4.62,-5.62,13.95,18.86,4.91,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
14,481,CO01664,39.33694,-106.8153,FRYINGPAN RIVER,IF,1967,48,279,8500,119007,102373,4.03876628,19.65404461,2.758814296,119.2452172,0.427402212,192.152,585.33774,144.9298597,1.602792167,126275048,7766,1.4E+13,41401,0.99,2,0.9,0,0,0,0,0,10.6,49.9,1,2,28,0.1,0,0,7.1,65,9,73,153,12,1,1,0,0,0,0,43,53,20,0,2,3,11,42,0,0,-0.47,4.73,-5.2,13.01,17.9,4.89,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
15,482,CO01666,40.19333,-105.8267,COLORADO RIVER,I,1945,70,37,10000,18369,18369,7.49478472,24.21137721,2.494794649,9.918443753,0.268066047,90.4521,484.32813,64.62203024,0.097864359,22657794,8367,1.4E+13,43030,0.93,1,5,0,0,0.1,0,0.2,5.5,63.4,0,17,8,0.5,0,0,0.3,91,13,114,183,10,1,1,0,1,0,1,43,61,1,1,10,20,3,15,0,0,-0.93,4.54,-5.47,13.13,18.05,4.92,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
16,486,CO01670,40.12,-105.925,WILLOW CREEK,IHR,1952,63,95,3150,11177,10553,1.22619858,10.17368377,2.591747695,36.8877041,0.388291622,71.5414,328.92873,268.2508251,0.899832809,13016914,NA,1.4E+13,41324,0.85,1,0.6,0,0,0,0,0.1,7.8,74.9,1.5,10,3,1.5,0,0,0.7,39,7,57,165,7,1,1,1,2,1,3,45,75,1,2,5,11,1,6,0,0,-1.11,4.54,-5.65,14.17,19.09,4.92,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
17,488,CO01675,38.44667,-107.3333,GUNNISON RIVER,HIRC,1965,50,342,33800,940700,748430,37.1501748,155.7453378,7.2082446,102.4725316,0.299627285,912.562,8987.2653,241.9172113,0.454137786,923173436,7519,1.4E+13,41568,1.21,4,0.4,0,0,0.1,0,0.1,7,47,0.9,8,31,2.6,0,0,3.5,15,3,17,95,11,4,4,2,2,2,5,42,36,12,1,6,8,14,44,0,0,0.31,4.79,-4.49,16.33,21.22,4.88,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
18,489,CO01683,38.80556,-107.945,ALFALFA RUN CREEK,I,1938,77,40,1935,7548,4540,1.92630536,0,0,15.85710645,0.396427661,0,31.07988,16.13445378,0.308618516,5599999,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,4.99,1.53,22.88,27.85,4.98,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
19,490,CO01688,37.35333,-107.6383,FLORIDA RIVER,IFRH,1962,53,196,0,487660,40146,2.51714692,10.14391577,1.803624986,784.0174927,4.000089249,28.3529,176.11932,69.96784566,13.34848793,49519288,NA,1.41E+13,42760,0.56,1,2.1,0,0,0,0,0,22.3,38.2,5.1,4,25,0.4,0,0,2.1,47,8,55,130,6,3,3,0,0,0,1,48,51,6,0,3,5,10,41,0,0,3.06,4.78,-1.73,17.01,21.93,4.92,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
20,491,CO01689,38.44833,-107.53,GUNNISON RIVER,IHR,1967,48,400,41000,121320,117190,3.30628462,41.3988215,6.422627743,148.4941511,0.371235378,1224.52,9518.21325,2878.824969,2.205971172,144551521,7160,1.4E+13,41549,1.36,4,0.6,0,0,0.1,0,0,8.3,44,1.1,8,32,1.8,0,0,3.6,12,3,14,87,7,2,2,1,1,1,3,41,36,11,0,8,11,15,47,0,0,2.14,4.84,-2.7,17.04,21.94,4.9,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
21,492,CO01691,38.925,-107.35,COLORADO RIVER,ICR,1961,54,177,12500,23230,17461,1.34355752,13.01878118,3.168378712,69.96971889,0.395309146,0,660.44745,491.5662651,1.630581836,21537794,6450,1.4E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,4.8,-1.74,17.84,22.72,4.88,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
22,493,CO01692,39.62667,-107.7606,RIFLE CREEK,IRSO,1967,48,120,3645,18900,13602,1.45282274,0,0,52.6461187,0.438717656,0,352.23864,242.4512535,1.179833293,16777795,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,4.95,-0.58,19.82,24.84,5.01,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
23,494,CO01693,38.22167,-107.5233,EAST FORK CIMARRON RIVER,I,1970,45,132,6280,15363,13520,1.18572998,7.952032919,2.060061378,52.43332673,0.397222172,95.2384,173.52933,146.3481229,1.300693937,16676650,8926,1.4E+13,41546,0.96,1,0.6,0,0,0,0,0,22.4,37.3,3.6,9,17,1,0,0,8.4,63,10,72,126,14,1,1,3,2,1,3,41,54,20,0,6,10,6,30,0,0,0.27,4.85,-4.58,12.33,17.22,4.89,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
24,495,CO01695,37.38334,-107.5583,LOS PINOS RIVER,IFRH,1940,75,118,0,136200,126700,11.0074592,18.34063548,1.559429438,50.07341446,0.42435097,144.734,699.2973,63.52941176,0.407684563,156281916,NA,1.41E+13,43208,1.14,1,1,0,0,0,0,0,12.5,52.9,2,3,24,0.2,0,0,3.8,81,12,91,140,19,0,0,0,0,0,0,50,57,10,0,2,4,10,38,0,0,3.1,4.78,-1.68,16,20.92,4.92,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
25,496,CO01697,39.225,-107.8156,PLATEAU CREEK,I,1959,56,124,1650,40300,33800,3.63408028,13.6792854,2.024235528,44.87740254,0.361914537,30.1874,227.91912,62.71714922,0.635903268,41691624,7984,1.4E+13,41443,0.58,1,4.7,0,0,0,0,0,41,37.4,4.1,2,11,0.2,0,0,0,42,6,49,153,4,1,1,1,1,0,1,66,75,0,0,2,2,5,20,0,0,1.5,4.93,-3.43,15.56,20.56,5,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
26,518,CO02140,40.365,-106.8006,YAMPA RIVER,S,1974,41,52,30900,15867,7422,2.27838218,8.834613017,1.651083869,28.18288379,0.541978534,255.102,1010.0961,443.339254,0.504350836,9154889,NA,1.41E+13,42057,0.91,3,0.6,0,0,0.1,0,0,22,45.2,2.7,8,13,7.1,0,0,0.8,41,7,50,142,11,1,2,4,4,4,11,49,54,2,1,5,8,4,20,0,0,0.26,4.77,-4.51,14.79,19.77,4.98,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
27,522,CO02572,40.10833,-108.7139,WHITE RIVER,CFHIPRS,1984,31,71,137500,22230,13800,2.4888189,7.627655521,1.363921308,36.14625848,0.509102232,660.996,7220.89212,2901.333333,0.618909722,17022024,NA,1.41E+13,42338,1.06,4,0.1,0,0,0,0,0.1,12.8,31.5,2.1,35,16,1.3,0,0,0.7,2,1,2,62,10,1,1,8,9,2,4,39,33,2,0,18,29,8,24,0,0,3.93,5.19,-1.26,21.58,26.74,5.16,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
28,526,CO02702,40.28667,-106.8422,YAMPA RIVER-OS,I,1989,26,145,40600,41700,33275,3.1565508,15.80413985,2.509339158,53.46141573,0.368699419,107.339,0.918637078,0.291025641,0.812820535,41044047,NA,1.41E+13,42059,0.73,2,0.7,0,0,0.1,0,0,23,35.7,2.5,12,18,7.5,0,0,1,44,8,51,129,14,2,2,4,4,4,10,44,47,3,0,7,11,7,27,0,0,0.33,4.76,-4.43,15.59,20.56,4.97,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
29,527,CO02706,38.23695,-107.7589,UNCOMPAHGRE RIVER,I,1987,28,233,8660,103,94126,5.65751028,18.85000316,2.235597641,67.32888692,0.28896518,199.954,795.6125531,140.6294707,0.764626529,116102538,NA,1.4E+13,41688,1.01,2,0.6,0,0,0.1,0,0,13.1,38.1,1.9,9,21,6.7,0,0,8.6,50,8,59,140,18,3,2,5,8,1,4,33,42,21,0,5,10,7,35,0,0,3.34,4.89,-1.56,17.6,22.52,4.92,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
30,528,CO02707,37.57667,-108.5706,DOLORES RIVER,IRFH,1985,30,295,33300,440000,381100,17.401498,89.11786794,6.026516654,102.3253465,0.346865581,466.711,2141.92173,123.0883721,0.662598593,470079228,6924,1.4E+13,41725,1.19,3,0.8,0,0,0,0,0,27.8,45.1,3.4,8,11,0.9,1,0,1.8,13,3,17,133,14,2,2,2,3,1,3,52,66,6,0,4,8,3,17,0,0,4.43,4.91,-0.48,18.44,23.49,5.05,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
31,532,CO02788,40.11306,-106.4142,MUDDY CREEK,IS,1995,20,122,44432,84639,65985,6.272633,39.07915674,4.401646243,54.60568109,0.44758755,10.2009,696.70731,111.0709677,0.588943309,81391178,NA,1.4E+13,41329,0.24,2,0.3,0,0,0.1,0,0.1,15.2,28.3,1.4,34,16,4.1,0,0,0.3,8,2,10,67,11,4,3,5,7,5,13,15,14,1,0,31,48,4,15,0,0,-1,4.67,-5.67,15.5,20.44,4.94,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
32,540,CO02887,39.61833,-107.655,WEST ELK CREEK-OS,I,1946,69,10,462,2996,1300,1.2949952,0,0,9.362478507,0.985524053,0,5.673696844,4.38125,0.222237507,1603524,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.92,-0.52,19.84,24.84,5,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
33,541,CO82906,37.825,-108.575,DOLORES,ISHRF,1984,31,94,0,399200,381000,19.90245748,0,0,81.17102146,0.863521505,0,2095.30191,105.2785685,0.49148273,469955880,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,4.92,-0.63,18.28,23.32,5.04,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
34,544,CO82912,38.15,-107.75,UMCOMPAHGRE RIVER,ISRC,1986,29,221,9830,89230,84410,4.3099059,18.85000316,2.561370625,83.78384522,0.379112422,199.954,686.34735,159.2488263,1.090151853,104118047,NA,1.4E+13,41688,1.01,2,0.6,0,0,0.1,0,0,13.1,38.1,1.9,9,21,6.7,0,0,8.6,50,8,59,140,18,3,2,5,8,1,4,33,42,21,0,5,10,7,35,0,0,3.06,4.91,-1.85,16.87,21.79,4.92,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
35,546,CO82915,37.56111,-108.5583,DELORES RIVER,ISHRF,1983,32,262,33300,399200,381000,18.0894642,89.11786794,5.910807657,89.30628268,0.340863674,466.711,2095.30191,115.8299776,0.567191565,469955880,6924,1.4E+13,41725,1.19,3,0.8,0,0,0,0,0,27.8,45.1,3.4,8,11,0.9,1,0,1.8,13,3,17,133,14,2,2,2,3,1,3,52,66,6,0,4,8,3,17,0,0,4.46,4.9,-0.44,18.51,23.55,5.05,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
36,547,CO83019,40.1075,-108.7132,White River,HRFSI,1984,31,0,138000,22200,13800,3.55314308,7.627655521,1.141509721,25.28468,0,660.996,NA,NA,0.362336193,17022024,NA,1.41E+13,42338,1.06,4,0.1,0,0,0,0,0.1,12.8,31.5,2.1,35,16,1.3,0,0,0.7,2,1,2,62,10,1,1,8,9,2,4,39,33,2,0,18,29,8,24,0,0,3.94,5.19,-1.25,21.57,26.73,5.16,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
37,548,CO83020,40.2851,-106.8306,Yampa River,SHRI,1988,27,140,450,33700,33275,3.103615393,15.80413985,2.530648382,43.94193598,0.313870971,107.339,587.92773,189.4332082,0.673760958,41044047,NA,1.41E+13,42059,0.73,2,0.7,0,0,0.1,0,0,23,35.7,2.5,12,18,7.5,0,0,1,44,8,51,129,14,2,2,4,4,4,10,44,47,3,0,7,11,7,27,0,0,0.34,4.76,-4.42,15.42,20.39,4.97,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
38,905,ID00282,42.95,-110.4267,PAYETTE RIVER,IH,1923,92,112,39060,29822,29822,4.451546,195.2093646,26.0999759,27.11084685,0.242061133,220.875,6941.1732,1559.272727,0.347094917,36784841,NA,1.71E+13,49718,1.34,1,5.7,4.2,0.1,0.1,0,0.3,0,49.4,0,11,8,19.3,0,0,2.1,127,15,136,257,16,7,12,17,14,10,29,34,27,5,0,8,10,3,8,0.5511,0.17612,-1.81,4.98,-6.79,12.61,17.98,5.37,17,Middle Rockies,623.22,699.12,75.9,Upper Colorado
39,2355,NM00120,36.79167,-107.5917,SAN JUAN RIVER,IRC,1962,53,382,34000,1986600,1708600,63.1714846,305.6072748,10.84671022,127.2642818,0.33315257,84.6,8262.0681,130.7879564,0.432520397,2107523928,1854.7,1.41E+13,43143,0.91,1,0.9,0,0,0,0,0,1.9,28.1,11,50,8,0,0,0,0,19,4,25,75,13,0,0,0,0,0,0,32,33,0,0,37,53,4,14,0,0,5.78,4.78,1,20.95,25.88,4.93,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
40,2372,NM00248,36.7044,-108.4838,OFFSTR SAN JUAN RIVER,O,1961,54,0,650,42800,39200,5.0990436,16.48608562,2.059529795,33.96817599,0,0,10.35996,2.031746032,0.406338962,48352416,1623.1,1.41E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51,4.83,2.69,23.28,28.28,4.99,22,Arizona/New Mexico Plateau,272.63,284.91,12.28,Upper Colorado
41,3350,UT00037,40.29333,-110.23,BIG SAND WASH,I,1965,50,105,195,14600,12050,1.501956323,12.27562506,2.825594618,39.33804164,0.374648016,0,28.48989,18.9685239,0.867051087,14863434,NA,1.41E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,5.35,-2.3,20.37,25.72,5.36,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
42,3353,UT00100,39.60333,-111.215,HUNTINGTON CREEK,S,1974,41,217,90,35500,31500,1.89733566,20.11863381,4.12022841,75.71838931,0.34893267,46.3291,77.6997,40.95201161,1.484874966,38854620,2613.7,1.41E+13,42503,0.7,1,0.3,0,0,0,0,0,14.7,55.3,2,24,3,0,0,0,0.5,37,6,56,154,13,2,3,0,0,0,0,50,64,1,0,16,28,1,6,0,0,0.18,5.16,-4.99,13.04,18.44,5.4,19,Wasatch and Uinta Mountains,619.13,695.26,76.13,Upper Colorado
43,3360,UT00212,39.09667,-111.185,FERRON CREEK,I,1971,44,107,480,20000,18000,1.533571087,14.19914644,3.234485238,52.77682584,0.493241363,16.0221,406.62843,265.1513817,1.151203003,22202640,1893.1,1.41E+13,42517,0.27,2,0.3,0.1,0.1,0.2,0,0.1,5.3,18.9,0.2,44,15,3.2,0,0,12,1,1,4,34,2,7,5,4,7,1,4,11,15,26,0,24,48,4,22,0,0,4.9,5.1,-0.2,21.09,26.47,5.38,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
44,3364,UT00243,40.18333,-109.68,UINTA RIVER--OFFSTREAM,I,1967,48,8,0,15850,11850,4.529214805,12.58567629,1.668245605,14.16196549,1.770245686,0,76.663704,16.92649149,0.179751563,14616738,1462,1.41E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,5.52,-2.26,22.79,28.09,5.29,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
45,3369,UT00314,40.76333,-109.2967,POT CREEK,I,1938,77,32,127,6729,3947,1.11710536,8.946600755,2.387843616,24.37662499,0.773861111,0,82.87968,74.19147361,0.622998659,4868546,7540,1.4E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,5.27,-3.7,16.36,21.62,5.26,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
46,3373,UT00608,40.56167,-110.7,ND,I,1987,28,0,0,26600,29500,1.334234403,6.926080801,1.691478094,89.47610381,0,0,NA,NA,2.092433192,36387660,8161,1.41E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.48,5.31,-5.79,12.19,17.6,5.41,19,Wasatch and Uinta Mountains,619.13,695.26,76.13,Upper Colorado
47,3378,UT10113,40.49445,-109.5333,OFFSTREAM,I,1960,55,132,400,40356,38173,3.439831,12.80189995,1.947156088,47.47753807,0.359678319,14.2,49.20981,14.30588235,0.691480983,47085632,5520,1.41E+13,42380,0.43,1,1.2,0.9,0.6,0,0,0.4,2,5.8,0.7,70,5,7.8,1,0,4.9,1,1,4,87,19,19,10,14,17,11,29,3,3,9,0,28,37,1,5,0,0,3.42,5.37,-1.95,21.17,26.46,5.29,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
48,3384,UT10124,39.27778,-111.2625,SEELY CREEK,IRC,1965,50,180,5000,71860,62460,5.0990436,15.37761267,1.921053439,57.0316151,0.316842306,78.431,349.64865,68.57142857,0.682231725,77043161,2130.6,1.41E+13,42509,0.61,2,0.8,0,0,0,0,0,6.3,37,0.1,44,11,0.1,0,0,1.2,26,4,40,75,6,2,2,0,0,0,0,31,34,3,0,28,47,5,18,0,0,2.72,5.12,-2.4,16.46,21.86,5.4,19,Wasatch and Uinta Mountains,619.13,695.26,76.13,Upper Colorado
49,3386,UT10128,40.53833,-110.4767,LAKE FORK RIVER,I,1937,78,71,10000,49500,49500,3.12822278,13.02280866,2.077067994,64.0360755,0.901916556,113.592,284.8989,91.07373868,0.977994639,61057260,8083,1.41E+13,42401,1.03,1,1.1,0,0,0,0,0,5.4,52.8,2,28,5,0.1,0,0,5.3,57,9,81,135,6,0,1,0,0,0,0,40,55,13,0,18,34,2,10,0,0,0.87,5.29,-4.41,15.18,20.55,5.37,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
50,3388,UT10130,40.29167,-109.8778,UNITA RIVER OS,R,1970,45,46,70,11779,11103,1.86964932,7.434193762,1.533729212,25.49561247,0.554252445,0,7.76997,4.155844156,0.503669873,13695328,NA,1.41E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,5.51,-2.44,21.62,26.93,5.31,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
