STATE,RESINFO,RESNAME1,RESID,LONGITUDE,LATITUDE,CLUSID
CA,259,Silva Flat,CA259,-120.922,40.968,XER                3
CA,272,Sweetwater Reservoir,CA272,-117.007,32.692,XER                3
CA,28,Bowman Lake,CA28,-120.6527,39.4485,WMT                2
CA,282,Trinity Reservoir,CA282,-122.7622,40.80111,WMT                2
CA,29,Lake Siskiyou,CA29,-122.3285,41.2822,WMT                1
CA,291,Uvas Reservoir,CA291,-121.69,37.067,XER                3
CA,299,Whiskeytown Lake,CA299,-122.5395,40.59923,XER                2
CA,3,Antelope Lake,CA3,-120.483,40.835,XER                2
CA,30,Cachuma,CA30,-119.9815,34.58721,XER                2
CA,33,Briones Reservoir,CA33,-122.208,37.913,XER                2
CA,36,Bucks Lake,CA36,-121.2038,39.8953,WMT                1
CA,40,Butt Valley Reservoir,CA40,-121.1461,40.1154,WMT                2
CA,43,Lake Calero,CA43,-121.792,37.183,XER                3
CA,44,Camp Far West,CA44,-121.3165,39.0501,XER                3
CA,46,Caples Lake,CA46,-120.0493,38.7066,WMT                2
CA,47,Casitas,CA47,-119.3353,34.37144,XER                2
CA,49,Castaic Lake,CA49,-118.6148,34.5263,WMT                2
CA,51,Silverwood Reservoir,CA51,-117.3142,34.3046,WMT                2
CA,52,"Lake Chabot, (Alameda Co.)",CA52,-122.122,37.73,XER                3
CA,56,Clear Lake,CA56,-122.5663,38.9227,XER                3
CA,64,Copco,CA64,-122.3334,41.9794,WMT                2
CA,67,Coyote Lake,CA67,-121.548,37.118,XER                3
CA,68,Coyote Flat reservoir,CA68,-120.985,40.908,WMT                2
CA,72,lake cuyamaca,CA72,-116.587,32.99,XER                2
CA,74,"Lake Del Valle, (Alameda Co.)",CA74,-121.745,37.615,XER                3
CA,75,Diamond Valley Lake,CA75,-117.066,33.67,XER                3
CA,8,Lake Barrett,CA8,-116.67,32.678,XER                3
CA,82,Dorris,CA82,-120.5,41.53333,WMT                2
CA,9,Bayley Reservoir,CA9,-120.627,41.262,WMT                2
CA,92,El Capitan Reservoir,CA92,-116.81,32.883,XER                3
CO,117,Mt Elbert Forebay,CO117,-106.3562,39.11186,WMT                1
CO,148,Wolford Mountain Reservoir,CO148,-106.4153,40.11306,WMT                2
CO,166,Turquoise Reservoir,CO166,-106.3703,39.25167,WMT                1
CO,17,Boyd Lake,CO17,-105.0244,40.42056,SPL                3
CO,189,Twin Lakes Reservoirs,CO189,-106.32303,39.08144,WMT                1
CO,23,Chatfield Reservoir,CO23,-105.0583,39.55833,SPL                1
CO,26,Clear Creek Reservoir,CO26,-106.2472,39.02167,WMT                1
CO,34,Dillon Reservoir,CO34,-106.0656,39.61833,WMT                1
CO,51,Granby Reservoir,CO51,-105.8673,40.1487,WMT                1
CT,12,Deep River Reservoir,CT12,-72.245,41.55333,NAP                1
CT,15,Easton Reservoir,CT15,-73.25833,41.24833,NAP                1
CT,20,Lake Hammonassett,CT20,-72.61333,41.35833,NAP                1
CT,25,Lake Gaillard,CT25,-72.76667,41.33833,NAP                1
CT,30,Laurel Reservoir,CT30,-73.545,41.165,NAP                1
CT,31,Mansfield Hollow Reservoir,CT31,-72.18167,41.765,NAP                1
CT,38,Moodus Reservoir,CT38,-72.42667,41.51333,NAP                1
CT,42,Pachaug Pond,CT42,-71.93,41.58167,NAP                2
CT,43,Nepaug Reservoir,CT43,-72.93166,41.79833,NAP                1
CT,5,Broad Brook Reservoir,CT5,-72.85833,41.52333,NAP                1
CT,50,Saugatuck Reservoir,CT50,-73.35,41.24833,NAP                1
CT,51,Barkhamsted Reservoir,CT51,-72.95333,41.91167,NAP                1
CT,54,Lake Lillinonah,CT54,-73.2964,41.4479,NAP                1
CT,56,Lake Zoar,CT56,-73.1721,41.3832,NAP                1
CT,6,Candlewood Lakes,CT6,-73.45,41.425,NAP                1
CT,60,Williams Pond,CT60,-72.30167,41.63,NAP                1
CT,64,Aspinook Pond,CT64,-71.978502,41.62404,NAP                1
CT,7,Colebrook River Reservoir,CT7,-73.03667,42,NAP                1
CT,9,McDonough Reservoir,CT9,-72.95834,41.88,NAP                1
FL,110,Rodman,FL110,-81.69,29.47,CPL                3
FL,12,Edward Medard Reservoir,FL12,-82.16,27.91,CPL                4
FL,157,Juniper Lake,FL157,-86.130438,30.770159,CPL                1
FL,158,Deer Point,FL158,-85.587716,30.30139,CPL                1
FL,159,Garcia,FL159,-80.670211,27.676839,CPL                3
FL,160,Hurricane Lake,FL160,-86.758275,30.941102,CPL                1
FL,161,Stick Marsh,FL161,-80.726366,27.807498,CPL                3
FL,4,Tsala Apopka Chain of Lakes,FL4,-82.3,28.88,CPL                1
FL,74,Lake Rousseau,FL74,-82.61,29.02,CPL                1
GA,15,Lake Sidney Lanier,GA15,-84.07333,34.16,SAP                1
GA,16,Lake Burton,GA16,-83.5403,34.7937,SAP                1
GA,21,Lake Blackshear,GA21,-83.9346,31.8368,CPL                4
GA,23,Lake Worth,GA23,-84.137,31.6026,CPL                4
GA,27,Lake Hartwell,GA27,-82.48,34.21,SAP                1
GA,29,High Falls,GA29,-84.02028,33.17972,SAP                4
GA,37,Lake Juliette,GA37,-83.75528,33.03278,SAP                1
GA,42,Lake Tobesofkee,GA42,-83.77055,32.81972,SAP                1
GA,48,Jackson Lake,GA48,-83.8415,33.3206,SAP                3
GA,51,Lake Rabun,GA51,-83.4162,34.7654,SAP                1
GA,54,Lake Seed,GA54,-83.5012,34.7549,SAP                1
GA,56,Lake Nottely,GA56,-84.092,34.958,SAP                1
GA,74,Lake Sinclair,GA74,-83.2018,33.1405,SAP                1
GA,79,Javor Lucas Lake,GA79,-83.65916,32.90083,SAP                1
GA,81,Lake Tugalo,GA81,-83.3519,34.7144,SAP                1
GA,90,Lake Yonah,GA90,-83.3425,34.6814,SAP                1
GA,92,Lake Seminole,GA92,-84.874306,30.727081,CPL                3
GA,93,Walter F. George reservoir,GA93,-85.096092,31.683186,CPL                3
IA,10,Coralville Reservoir,IA10,-91.5293,41.7243,TPL                2
IA,13,Fertile Dam,IA13,-93.4217,43.2636,TPL                2
IA,14,FIve-in-one Dam,IA14,-91.6667,41.9833,TPL                2
IA,15,Green Valley,IA15,-94.3883,41.1062,TPL                1
IA,16,Lake Delhi,IA16,-91.3635,42.4102,TPL                1
IA,18,Casey Lake,IA18,-92.3106,42.2645,TPL                1
IA,19,Lake Nakomis,IA19,-94.2293,42.7267,TPL                2
IA,2,Badger Creek Lake,IA2,-93.9088,41.4683,TPL                1
IA,20,Independence Impoundment,IA20,-91.9005,42.4776,TPL                1
IA,21,Iowa Falls Impoundment,IA21,-93.2591,42.5186,TPL                2
IA,22,Lake Darling,IA22,-91.9062,41.2032,TPL                1
IA,23,Icaria,IA23,-94.7534,41.0481,TPL                1
IA,24,Lake Macbride,IA24,-91.5752,41.7937,TPL                1
IA,25,Lake of the Hills,IA25,-90.6821,41.5243,TPL                1
IA,28,Lake Sugema,IA28,-91.9869,40.6835,TPL                3
IA,29,Sundown Lake,IA29,-92.7212,40.8321,TPL                1
IA,30,Lake Wapello,IA30,-92.5722,40.8212,TPL                3
IA,31,Little River,IA31,-93.7785,40.7482,TPL                1
IA,32,Mississippi,IA32,-91.095,42.785,UMW                1
IA,35,Pool 12 Upper Mississippi River,IA35,-90.4221,42.2603,UMW                1
IA,36,Pool 13,IA36,-90.1547,41.8972,TPL                2
IA,37,Pool 14 Upper Mississippi River,IA37,-90.4003,41.5741,TPL                2
IA,38,Mississippi River Pool 15,IA38,-90.5638,41.5183,TPL                2
IA,39,Pool 16,IA39,-91.0102,41.425,TPL                2
IA,40,Pool 17,IA40,-91.0568,41.1917,TPL                2
IA,41,Pool 18,IA41,-91.024,40.8816,TPL                2
IA,42,Monticello Dam,IA42,-91.172,42.2446,TPL                2
IA,45,Des Moines River - Ottumwa Hydropower Project,IA45,-92.4067,41.01,TPL                2
IA,46,Pleasant Creek Lake,IA46,-91.8104,42.1257,TPL                1
IA,47,Rathbun Lake,IA47,-92.87667,40.82833,TPL                2
IA,48,Lake Red Rock,IA48,-92.9803,41.3695,TPL                2
IA,49,Robert's Creek Lake,IA49,-93.0277,41.42,TPL                2
IA,5,Big Creek Lake,IA5,-93.7405,41.7818,TPL                2
IA,50,Rock Creek Lake,IA50,-92.8538,41.7381,TPL                2
IA,51,Saylorville Lake,IA51,-93.6811,41.7036,TPL                2
IA,52,Sun Valley,IA52,-94.0597,40.8637,TPL                3
IA,53,Three Mile,IA53,-94.2119,41.0724,TPL                1
IA,54,Twelve Mile,IA54,-94.2569,41.053,TPL                1
IA,56,West Lake Osceola,IA56,-93.8057,41.0408,TPL                1
IA,58,Mississippi,IA58,-91.09967,43.227256,UMW                1
IA,59,Mississippi,IA59,-91.241827,43.611968,UMW                1
IA,6,Brushy Creek,IA6,-93.9789,42.3873,TPL                3
IA,9,Roller Dam,IA9,-91.6302,41.9446,TPL                2
ID,11,Bybee Reservoir,ID11,-116.2676,42.24955,XER                3
ID,13,C.J. Strike Reservoir,ID13,-115.9759,42.947,XER                3
ID,14,Cabinet Gorge Reservoir,ID14,-116.0633,48.0867,WMT                2
ID,16,Crane Creek Reservoir,ID16,-116.6171,44.3568,XER                3
ID,2,Pend Oreille River,ID2,-117,48.18,WMT                2
ID,21,Lake Lowell,ID21,-116.7361,43.58278,XER                3
ID,27,Fish Creek Reservoir,ID27,-113.8323,43.42268,WMT                2
ID,28,Gem Lake,ID28,-112.102,43.4219,XER                2
ID,3,Ashton Reservoir,ID3,-111.4961,44.2453,WMT                2
ID,33,Hayden Lake,ID33,-116.7586,47.75,WMT                1
ID,35,Henrys Lake,ID35,-111.3533,44.59729,WMT                2
ID,38,Little Camas Reservoir,ID38,-115.3902,43.35206,WMT                2
ID,4,Blackfoot Reservoir,ID4,-111.7166,43.00378,XER                3
ID,44,Lucky Peak Lake,ID44,-116.0537,43.52797,WMT                2
ID,45,Mackay REservoir,ID45,-113.6732,43.95269,WMT                2
ID,46,Magic Reservoir,ID46,-114.3569,43.2547,XER                3
ID,48,Milner Reservoir,ID48,-114.0085,42.5256,XER                3
ID,51,Mountain Home Reservoir,ID51,-115.6624,43.15713,XER                3
ID,59,Paddock Reservoir,ID59,-116.5989,44.19832,XER                3
ID,64,Lake Coeur d'alene,ID64,-116.961,47.709,WMT                2
ID,70,Priest Lake,ID70,-116.9027,48.4906,WMT                1
ID,71,Salmon Falls Creek Reservoir,ID71,-114.7342,42.21199,XER                3
ID,76,Swan Falls Reservoir,ID76,-116.3785,43.2431,XER                3
ID,77,Twin Lakes,ID77,-116.8644,47.8582,WMT                1
ID,8,Brownlee Reservoir,ID8,-116.9006,44.8368,WMT                2
ID,81,American Falls Reservoir,ID81,-112.708168,42.962955,XER                3
ID,82,Arrowrock Reservoir,ID82,-115.854321,43.603516,WMT                2
ID,83,Island Park Reservoir,ID83,-111.528082,44.399203,WMT                2
IL,10,Carlyle Lake,IL10,-89.35229,38.61882,TPL                1
IL,104,vandalia lake,IL104,-89.1133,39.0117,TPL                1
IL,108,Silver Lake,IL108,-88.244722,42.235,TPL                1
IL,14,Cedar Lake,IL14,-89.2833,37.66,SAP                1
IL,16,Clinton Lake,IL16,-88.8717,40.135,TPL                1
IL,18,Coffeen Lake,IL18,-89.3867,39.035,TPL                3
IL,30,Dunlap Lake,IL30,-89.9383,38.8083,TPL                1
IL,31,East Fork Lake,IL31,-88.0567,38.7583,TPL                3
IL,34,Governor Bond Lake,IL34,-89.3967,38.935,TPL                1
IL,36,Holiday Shores Lake,IL36,-89.9333,38.91,TPL                1
IL,41,Kinkaid Lake,IL41,-89.4533,37.7783,TPL                3
IL,42,Lake Bloomington,IL42,-88.9367,40.6617,TPL                1
IL,43,Lake Carlinville 1 ; Lake Carlinville Old Lake,IL43,-89.8667,39.2433,TPL                1
IL,45,Lake Centralia,IL45,-89.0083,38.5583,TPL                1
IL,48,Lake Decatur,IL48,-88.9667,39.75,TPL                2
IL,49,Lake Jacksonville,IL49,-90.2133,39.6717,TPL                1
IL,50,Lake Lou Yaeger,IL50,-89.6017,39.1867,TPL                1
IL,51,Lake Mattoon,IL51,-88.4817,39.3333,TPL                2
IL,52,Lake Mingo,IL52,-87.7333,40.205,TPL                3
IL,54,lake sara,IL54,-88.6167,39.125,TPL                1
IL,55,Lake Shelbyville,IL55,-88.78059,39.40951,TPL                2
IL,57,Lake Taylorville,IL57,-89.255,39.53,TPL                2
IL,59,Lake Vermilion,IL59,-87.6517,40.1567,TPL                1
IL,6,Busse Lake South Pool,IL6,-88,42.01,TPL                1
IL,65,Lake Mauvaise Terre,IL65,-90.2183,39.72,TPL                1
IL,67,Mill Creek Lake,IL67,-87.7933,39.4033,TPL                2
IL,70,Gillespie New City Lake,IL70,-89.8867,39.145,TPL                1
IL,72,Newton Lake,IL72,-88.3033,38.885,TPL                3
IL,73,Newton Lake Cooling Loop,IL73,-88.3,38.8833,TPL                3
IL,76,Otter Lake,IL76,-89.91,39.4067,TPL                1
IL,77,Pana Lake,IL77,-89.0217,39.3617,TPL                2
IL,78,Pinckneyville City Lake,IL78,-89.395,38.0933,TPL                3
IL,79,Powerton Lake,IL79,-89.6883,40.54,TPL                3
IL,80,Prairie Lake,IL80,-90.055,40,TPL                3
IL,81,raccoon lake,IL81,-89.1083,38.5433,TPL                2
IL,82,Rend Lake,IL82,-88.94978,38.0367,TPL                2
IL,84,Round Lake,IL84,-88.055,42.221,TPL                1
IL,86,Lake Sangchris,IL86,-89.5,39.6667,TPL                3
IL,88,Skokie Lagoons,IL88,-87.773395,42.125856,TPL                1
IL,90,Lake Springfield,IL90,-89.5967,39.76,TPL                1
IL,98,forbes lake,IL98,-88.7483,38.7117,TPL                1
IL,99,Fox Chain O' Lakes,IL99,-88.151,42.186,TPL                1
IN,10,Eagle Creek Reservoir,IN10,-86.3075,39.825,TPL                1
IN,13,Gibson Lake,IN13,-87.75694,38.33472,TPL                3
IN,14,Dogwood Lake,IN14,-87.05889,38.53778,TPL                3
IN,18,Hardy Lake,IN18,-85.71,38.79111,TPL                1
IN,20,Turtle Creek Reservoir,IN20,-87.52583,39.04333,TPL                1
IN,22,J.C. Murphey Lake,IN22,-87.51833,40.97417,TPL                3
IN,23,Roush Lake,IN23,-85.47,40.84667,TPL                2
IN,27,Kickapoo Lake,IN27,-87.2475,39.16,TPL                3
IN,28,Kokomo Reservoir,IN28,-86.05028,40.48833,TPL                2
IN,30,Lake George,IN30,-87.25806,41.535,TPL                1
IN,32,Lake Lemon,IN32,-86.42528,39.27222,SAP                4
IN,37,Sullivan Lake,IN37,-87.375,39.10167,TPL                1
IN,40,Mississinewa Reservoir,IN40,-85.95833,40.70833,TPL                2
IN,41,Monroe Lake,IN41,-86.51167,39,SAP                4
IN,46,Lake Shafer,IN46,-86.76,40.78,UMW                1
IN,47,Lake Freeman,IN47,-86.7533,40.6566,TPL                1
IN,49,Patoka Lake,IN49,-86.70833,38.435,SAP                4
IN,5,Brookville Reservoir,IN5,-85,39.44,TPL                1
IN,50,Worster Lake,IN50,-86.37028,41.54944,UMW                1
IN,54,Salamonie Reservoir,IN54,-85.68,40.80833,TPL                2
IN,55,Summit Lake,IN55,-85.32583,40.02333,TPL                3
IN,6,Cagle's Mill Reservoir,IN6,-86.91667,39.48667,SAP                3
IN,64,West Boggs Creek Lake,IN64,-86.92,38.72,TPL                1
IN,7,Harden Reservoir,IN7,-87.07167,39.71833,TPL                3
IN,8,Cedarville Reservoir,IN8,-85.01833,41.19889,TPL                2
KS,10,Clinton Reservoir,KS10,-95.33,38.92333,TPL                1
KS,11,Coffey County Lake,KS11,-95.67645,38.19311,TPL                3
KS,12,Council Grove Reservoir,KS12,-96,38.67833,TPL                1
KS,13,Critzer Res ervoir,KS13,-94.92422,38.1461,TPL                3
KS,16,Banner Creek Reservoir,KS16,-95.76306,39.45501,TPL                1
KS,17,El Dorado Reservoir,KS17,-96.82167,37.84667,TPL                1
KS,18,Elk City Lake,KS18,-96.78333,37.28167,TPL                2
KS,2,Clark State Fishing Lake,KS2,-99.8996,37.41603,SPL                1
KS,20,Fall River Reservoir,KS20,-96.07,37.64667,TPL                2
KS,21,Glen Elder Reservoir,KS21,-98.31556,39.49639,SPL                5
KS,24,Hillsdale,KS24,-94.89833,38.65333,TPL                3
KS,25,Jeffrey Energy Center Auxiliary Make-Up Lake,KS25,-96.15303,39.23954,TPL                3
KS,26,John Redmond Reservoir,KS26,-95.755,38.24167,TPL                2
KS,28,Kanopolis Reservoir,KS28,-97.97,38.62167,SPL                3
KS,29,Kirwin,KS29,-99.12744,39.66199,SPL                3
KS,30,La Cygne Reservoir,KS30,-94.65388,38.33883,TPL                3
KS,31,Lake Coldwater,KS31,-99.34969,37.24305,SPL                5
KS,35,Lovewell Reservoir,KS35,-98.02681,39.89019,SPL                5
KS,36,Empire Lake,KS36,-94.70356,37.06488,SAP                3
KS,37,Marion Reservoir,KS37,-97.08333,38.36833,TPL                2
KS,39,Melvern Lake,KS39,-95.705,38.515,TPL                1
KS,4,Big Hill Lake,KS4,-95.47,37.26833,TPL                3
KS,40,Milford Reservoir,KS40,-96.895,39.08333,TPL                2
KS,42,Centralia City Lake,KS42,-96.16273,39.70486,TPL                1
KS,45,"Cedar Creek Reservoir, BB County",KS45,-94.79356,37.81879,TPL                3
KS,46,Neosho Wildlife Area,KS46,-95.12981,37.47934,TPL                1
KS,47,Wellington City Lake,KS47,-97.52805,37.20278,SPL                5
KS,48,Keith Sebelius,KS48,-99.93112,39.80445,SPL                3
KS,5,Bone Creek Reservoir,KS5,-94.73259,37.62194,TPL                3
KS,50,Perry Reservoir,KS50,-95.425,39.11167,TPL                1
KS,52,Pomona Reservoir,KS52,-95.55667,38.65167,TPL                2
KS,54,Winfield City Lake,KS54,-96.89335,37.3499,TPL                1
KS,55,Toronto Reservoir,KS55,-95.93333,37.73833,SPL                5
KS,56,Tuttle Creek Reservoir,KS56,-96.59,39.25667,TPL                2
KS,58,Webster Reservoir,KS58,-99.42342,39.40802,SPL                3
KS,60,Wilson Reservoir,KS60,-98.495,38.96833,SPL                1
KS,61,Wyandotte County Lake,KS61,-94.77526,39.16857,TPL                3
KS,62,Ft. Scott City Lake,KS62,-94.75629,37.782248,TPL                3
KS,63,Quivera Boy Scout Lake,KS63,-96.186997,37.234668,SPL                1
KS,64,Lake Kahola,KS64,-96.420829,38.523022,TPL                3
KS,65,Parsons City Lake,KS65,-95.338869,37.404801,TPL                1
