,nid_id,lat,lon,river,purpose,yr_comp,res_age,hydr_hght,max_dis,max_stor,norm_stor,surf_area_km2,res_perim_km,sdi,mean_depth,mean_max_depth_ratio,mean_q,drain_area_km2,catch_surf_area_ratio,rel_depth_perc,lake_vol_m3,elev,reach_code,e2rf1,mean_v,strahler,water,wetlands,urb_grass,lo_urb_dev,hi_urb_dev,industry,for_dec,for_ever,for_mixed,shrub,grass,pasture,crops,orchards,barren,tn_bg_kg_km2_yr,tp_bg_kg_km2_yr,tn_bg_kg_km2_yr_atom,tn_kg_km2_yr,tp_kg_km2_yr,tn_point,tp_point,tn_fert,tp_fert,tn_ag_anml,tp_ag_anml,tn_forest,tp_forest,tn_barren,tp_barren,tn_shrub,tp_shrub,tn_grass,tp_grass,tn_frac,tp_frac,WinT_rcp85,WintT_abs,WinT_hist,SumT_hist,SumT_rcp85,SumT_abs,US_L3CODE,US_L3NAME,Histprecip,RCP85precip,ABSprecip
11,AL01256,33.57333,-86.98833,VILLAGE CREEK,S,1910,105,90,78000,14200,12800,1.67135318,36.3447004,7.930523719,34.38248765,0.382027641,218.193,NA,NA,0.718395797,15788544,NA,3.16E+12,9020,1.33,1,0.5,0.3,4.5,13.4,4.8,8.5,26.9,12.3,23.8,0,0,1.6,1.7,0,1.8,133,17,169,1351,113,79,84,4,7,0,1,7,8,1,0,0,0,0,0,0.79072,0.44035,12.72,3.49,9.22,26.43,31.22,4.8,68,Southwestern Appalachians,1438.69,1485.93,47.24
12,AL01311,33.46,-86.66833,LITTLE CAHABA RIVER,SC,1964,51,50,NA,26400,24000,3.89307932,36.47422337,5.214759913,27.44276444,0.548855289,NA,NA,NA,0.375700553,29603520,NA,3.15E+12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,3.47,9.42,26.39,31.15,4.76,67,Ridge and Valley,1175.45,1253.37,77.91
13,AL01413,31.361,-86.5184,CONECUH R/PATSALIGA,HCRS,1925,90,41,1.00E+05,2300,2300,2.832802,29.60531077,4.961995947,3.285706743,0.080139189,849.554,3265.97739,1152.914286,0.052732856,2837004,51.8,3.14E+12,8027,1.9,2,0.9,7.3,0.1,0.1,0,0.1,16.1,24.8,30.8,0,0,6.3,9.7,0,3.8,60,19,79,381,35,6,5,25,19,17,46,21,24,4,6,0,0,0,0,0.88407,0.61644,14.77,3.25,11.52,26.77,31.21,4.44,65,Southeastern Plains,1354.02,1363.28,9.26
14,AL01414,31.4032,-86.4796,CONECUH R,HCRS,1924,91,36,33000,14645,14645,11.19766162,63.4495825,5.348844719,5.292723665,0.147020102,849.554,1598.02383,142.7105168,0.042724418,18064314.6,60,3.14E+12,8027,1.9,2,0.9,7.3,0.1,0.1,0,0.1,16.1,24.8,30.8,0,0,6.3,9.7,0,3.8,60,19,79,381,35,6,5,25,19,17,46,21,24,4,6,0,0,0,0,0.88407,0.61644,14.8,3.26,11.54,26.84,31.29,4.45,65,Southeastern Plains,1354.02,1363.28,9.26
15,AL01415,34.1721,-85.7539,COOSA,HR,1961,54,49,350000,306400,306400,122.215172,520.8316232,13.29014364,10.14567207,0.207054532,653.273,13657.01727,111.7456954,0.024790133,377938272,NA,3.15E+12,9730,1.37,3,1.2,0.3,0.5,0.8,0.1,0.4,31.4,18.2,26.1,0,0,15,4.5,0,1.6,82,11,114,638,63,11,13,27,12,15,46,20,27,2,3,0,0,0,0,0.79854,0.33752,11.75,3.5,8.25,26.05,30.77,4.72,67,Ridge and Valley,1175.45,1253.37,77.91
16,AL01416,33.78333,-86.05334,COOSA,HR,1966,49,53,340000,121860,121860,45.4664721,373.5576959,15.62812768,10.84643705,0.204649756,10826.5,17093.934,375.9679573,0.04345123,150311872.8,NA,3.15E+12,8322,3.05,4,1.6,0.5,0.4,1.2,0.2,0.8,32.8,19.2,25.6,0,0,11.2,4.6,0,1.8,75,12,105,652,47,15,14,21,10,23,55,18,19,2,2,0,0,0,0,0.86154,0.51364,12.52,3.47,9.05,26.15,30.87,4.71,67,Ridge and Valley,1175.45,1253.37,77.91
17,AL01417,33.42667,-86.33833,COOSA,HCRS,1964,51,95,167000,650000,273000,121.4058,542.7771491,13.89622154,21.66661693,0.228069652,12625.4,19942.923,164.2666667,0.053116811,336740040,NA,3.15E+12,8291,3.2,4,1.7,0.6,0.5,1.2,0.2,0.8,33.5,18.8,25.5,0,0,10.8,4.8,0,1.7,75,12,104,616,42,15,15,20,9,22,53,19,21,1,2,0,0,0,0,0.88269,0.59195,13.07,3.46,9.62,26.3,31.03,4.73,67,Ridge and Valley,1175.45,1253.37,77.91
18,AL01418,32.9637,-86.5171,COOSA,HR,1914,101,86,560000,262800,262800,48.56232,495.524192,20.05903518,21.89994972,0.254650578,15049.4,23535.23913,484.64,0.084889506,324158544,NA,3.15E+12,8367,3.39,4,1.7,0.8,0.5,1.1,0.2,0.8,33.4,18.9,25.8,0,0,10.4,4.8,0,1.7,77,13,106,581,40,15,15,20,9,20,50,19,23,2,2,0,0,0,0,0.91322,0.7388,13.36,3.42,9.94,26.45,31.15,4.7,45,Piedmont,1204.47,1274.98,70.51
19,AL01419,32.58383,-86.28333,COOSA,H,1967,48,133,-98,236200,236200,3.7231112,177.9298175,26.01301076,256.738541,1.93036497,16632.1,26327.24835,7071.304348,3.594170441,291347976,NA,3.15E+12,9818,3.49,4,1.7,0.8,0.4,1.1,0.2,0.7,33.8,18.7,26.2,0,0,9.9,4.7,0,1.7,76,14,105,553,37,15,15,20,10,20,48,20,25,2,2,0,0,0,0,0.9235,0.77845,14.16,3.37,10.79,27.09,31.77,4.68,65,Southeastern Plains,1354.02,1363.28,9.26
20,AL01420,33.94167,-87.10833,SIPSEY FORK/WARRIOR,HCNR,1961,54,210,317800,1670600,1390000,104.004302,874.9523249,24.2021322,65.00374182,0.309541628,249.591,2444.95056,23.50817121,0.172176275,1714537200,NA,3.16E+12,9703,1.12,2,1.4,0,0.3,0.2,0,0.4,31.7,23.4,26.1,0,0,7.2,1.6,0,7.7,87,10,119,807,70,5,7,10,3,30,64,21,19,8,7,0,0,0,0,0.67842,0.21207,12.02,3.53,8.48,25.99,30.83,4.84,68,Southwestern Appalachians,1438.69,1485.93,47.24
21,AL01421,32.5744,-85.8893,TALLAPOOSA,HR,1928,87,61,326500,54000,54000,8.09372,NA,NA,26.99993802,0.442621935,NA,8417.4675,1040,0.256359421,66607920,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,3.35,10.22,26.49,31.15,4.66,45,Piedmont,1204.47,1274.98,70.51
22,AL01422,32.535,-85.88834,TALLAPOOSA,HR,1930,85,45.85,430000,18250,18250,2.32289764,NA,NA,31.7943521,0.693442794,NA,8546.967,3679.442509,0.563502109,22511010,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,3.35,10.45,26.74,31.4,4.66,65,Southeastern Plains,1354.02,1363.28,9.26
23,AL01423,32.61867,-86.25833,COOSA,HR,1928,87,89,595000,235000,235000,27.518648,177.9298175,9.568196327,34.55874419,0.388300497,16632.1,26327.24835,956.7058824,0.177952875,289867800,NA,3.15E+12,9818,3.49,4,1.7,0.8,0.4,1.1,0.2,0.7,33.8,18.7,26.2,0,0,9.9,4.7,0,1.7,76,14,105,553,37,15,15,20,10,20,48,20,25,2,2,0,0,0,0,0.9235,0.77845,13.91,3.37,10.54,26.85,31.53,4.68,45,Piedmont,1204.47,1274.98,70.51
24,AL01424,32.805,-86.44666,COOSA,HR,1923,92,60,510000,172000,172000,23.674131,199.3597056,11.55833431,29.4016419,0.490027365,16184.9,25451.83173,1075.090598,0.16322819,212158560,NA,3.15E+12,8360,3.46,4,1.7,0.8,0.4,1.1,0.2,0.7,33.9,18.8,26,0,0,10,4.6,0,1.8,76,14,105,559,37,15,15,20,9,20,49,20,25,2,2,0,0,0,0,0.92059,0.77671,13.56,3.4,10.16,26.57,31.26,4.69,45,Piedmont,1204.47,1274.98,70.51
25,AL01425,32.68,-85.91167,TALLAPOOSA,HCSR,1926,89,163,302000,1622000,1622000,161.8744,1220.170854,27.05368645,40.54990691,0.248772435,147.852,7769.97,48,0.086091719,2000704560,NA,3.15E+12,8438,0.71,3,0.2,4.3,0.2,0.4,0,0.2,23.8,30.5,31.6,0,0,5.4,3,0,0.5,71,19,96,318,26,8,10,13,11,7,26,35,51,1,1,0,0,0,0,0.76757,0.31255,13.38,3.36,10.02,26.25,30.91,4.66,45,Piedmont,1204.47,1274.98,70.51
26,AL01426,33.25333,-87.45,BLACK WARRIOR RIVER,NHR,1968,47,108,639500,117990,117990,13.354638,111.3163121,8.592858118,35.75446337,0.331059846,6933.08,10927.16781,818.230303,0.264286395,145538305.2,57,3.16E+12,9061,2.62,4,1.5,0.2,0.6,1.7,0.4,1,34.6,16.8,25.4,0,0,10.8,5,0,2,83,11,111,794,64,19,20,16,5,28,57,16,16,2,1,0,0,0,0,0.89959,0.73333,13.15,3.5,9.65,26.77,31.6,4.83,68,Southwestern Appalachians,1438.69,1485.93,47.24
27,AL01427,33.45667,-87.355,BLACK WARRIOR RIVER,NHR,1975,40,103,666000,296000,269215,37.4132207,195.2558087,9.005053675,32.01723315,0.310846924,3784.99,10310.75019,275.5911303,0.141394284,332071318.2,NA,3.16E+12,8961,2.11,4,1.6,0.3,0.2,0.4,0,0.4,35,17.6,25,0,0,11.8,5.4,0,2.2,81,11,109,823,77,7,7,17,4,37,72,17,15,2,2,0,0,0,0,0.87089,0.61409,12.48,3.51,8.97,26.35,31.21,4.86,68,Southwestern Appalachians,1438.69,1485.93,47.24
28,AL01429,32.77833,-87.84167,BLACK WARRIOR RIVER,N,1958,57,65,53800,58650,49100,31.565508,24.7658923,1.243490522,7.519213507,0.115680208,9820.04,15047.8419,476.7179487,0.036151526,60563868,NA,3.16E+12,62522,2.95,4,1.6,3.3,0.5,1.5,0.4,0.9,32,16.7,26.1,0,0,9.9,5,0,2.1,68,13,91,624,43,19,21,16,6,25,52,17,19,2,2,0,0,0,0,0.95065,0.92109,13.74,3.47,10.26,27.22,32.05,4.83,65,Southeastern Plains,1354.02,1363.28,9.26
29,AL01430,32.52,-87.88,TOMBIGBEE RIVER,N,1955,60,59,88000,150000,120000,40.4686,379.3976372,16.82404506,14.99996556,0.254236704,26734.4,39846.99615,984.64,0.06369301,148017600,NA,3.16E+12,9119,3.92,5,1.3,7.9,0.3,0.7,0.2,0.5,25.1,17.1,21.9,0,0,11.9,10.2,0,2.8,63,19,86,546,48,11,11,31,12,15,47,16,25,3,5,0,0,0,0,0.97682,0.94446,13.67,3.45,10.22,26.98,31.8,4.82,65,Southeastern Plains,1354.02,1363.28,9.26
30,AL01431,31.75667,-88.12833,TOMBIGBEE RIVER,N,1962,53,52,71000,190800,190800,34.39831,379.3976372,18.24823899,22.44700729,0.431673217,26734.4,47699.84583,1386.691765,0.103383325,235347984,NA,3.16E+12,9119,3.92,5,1.3,7.9,0.3,0.7,0.2,0.5,25.1,17.1,21.9,0,0,11.9,10.2,0,2.8,63,19,86,546,48,11,11,31,12,15,47,16,25,3,5,0,0,0,0,0.97682,0.94446,14.61,3.37,11.24,26.99,31.63,4.64,65,Southeastern Plains,1354.02,1363.28,9.26
31,AL01432,31.62667,-85.06333,CHATTAHOOCHEE RIVER,NHRC,1962,53,101,631500,934400,934000,182.8411817,539.3712821,11.25241396,20.68121234,0.204764479,8589.21,19321.3254,105.6727385,0.041314223,1152070320,NA,3.13E+12,9744,3.43,3,2.4,2.6,0.8,3.6,0.9,1.8,31.8,19.4,23.6,0,0,6.6,3.9,0,2.7,74,23,100,555,36,43,47,8,6,15,21,14,21,2,4,0,0,0,0,0.85408,0.34397,15.31,3.24,12.07,27.07,31.53,4.46,65,Southeastern Plains,1354.02,1363.28,9.26
32,AL01433,31.26,-85.11,ND,ND,NA,NA,43,44600,18180,18180,6.2321644,NA,NA,11.8051677,0.274538784,NA,21263.8179,3411.948052,0.127736,22424666.4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72,3.21,12.51,27.42,31.79,4.37,65,Southeastern Plains,1354.02,1363.28,9.26
33,AL01434,32.32333,-86.78333,ALABAMA RIVER,NHR,1971,44,70,653000,234200,234200,49.776378,605.9758115,24.22916984,19.0406067,0.272008667,16811.9,42043.30767,844.6439024,0.072900371,288881016,NA,3.15E+12,8357,3.51,4,1.7,0.9,0.4,1,0.2,0.7,33.7,18.7,26.2,0,0,10,4.8,0,1.7,76,14,104,548,36,15,15,20,10,20,48,20,25,2,2,0,0,0,0,0.92867,0.80977,14.34,3.35,10.99,27.2,31.89,4.69,65,Southeastern Plains,1354.02,1363.28,9.26
34,AL01435,32.10167,-87.4,ALABAMA RIVER,NHR,1970,45,55,183700,331800,331800,69.605992,153.4534955,5.188578158,19.29065339,0.350739153,29402.2,53449.62363,767.8883721,0.062457447,409268664,24.4,3.15E+12,8634,4.04,5,1.7,3.6,0.4,0.9,0.2,0.6,30,18.1,25.8,0,0,10.3,6.7,0,1.8,65,17,89,338,27,16,15,21,13,16,44,20,25,2,3,0,0,0,0,0.96227,0.88534,14.04,3.36,10.68,27.14,31.85,4.72,65,Southeastern Plains,1354.02,1363.28,9.26
35,AL01436,31.615,-87.55,ALABAMA RIVER,N,1969,46,35,665500,96360,96360,23.674131,NA,NA,16.47175706,0.47062163,NA,55614.85527,2349.182906,0.091445746,118858132.8,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.76,3.32,11.44,26.94,31.52,4.58,65,Southeastern Plains,1354.02,1363.28,9.26
36,AL01517,33.7383,-85.6561,SHOAL CREEK,CS,1977,38,91,31100,14105,7100,1.0724179,17.50532905,4.768514887,53.2262929,0.584904318,28.7326,98.62600983,91.96603774,1.38836864,8757708,NA,3.15E+12,8302,0.57,1,1,0,0,0,0,0,40.1,23.3,34.2,0,0,0.9,0.2,0,0.3,120,28,166,241,9,3,5,2,1,4,17,48,77,1,1,0,0,0,0,0.67452,0.22881,11.53,3.46,8.08,25.15,29.84,4.69,45,Piedmont,1204.47,1274.98,70.51
37,AL01979,31.14739,-85.36489,TOMBIGBEE,N,1978,37,51,290000,60400,60400,33.588938,NA,NA,7.277091728,0.142688073,NA,14892.4425,443.373494,0.033917225,74502192,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.66,3.21,12.46,27.28,31.63,4.34,65,Southeastern Plains,1354.02,1363.28,9.26
38,AL01980,32.83333,-88.16667,TOMBIGBEE,N,1977,38,46,225000,58000,45290,25.899904,248.3241011,13.76463457,9.062479195,0.197010417,10282.8,18679.00788,721.2,0.048101492,55864309.2,33.2,3.16E+12,8876,3,4,1.3,8.9,0.2,0.6,0.1,0.4,26.5,12.6,18,0,0,14.1,14.4,0,2.8,68,21,93,631,54,7,9,44,17,9,44,14,24,3,5,0,0,0,0,0.94106,0.91446,13.27,3.5,9.76,27.02,31.89,4.87,65,Southeastern Plains,1354.02,1363.28,9.26
39,AL01981,33.21,-87.585,BLACK WARRIER,N,1992,23,49,52000,13800,12340,3.1970194,38.55952462,6.0835058,17.46831433,0.356496211,7770.94,12486.34179,3905.620253,0.263899742,15221143.2,37.5,3.16E+12,9054,2.73,4,1.5,0.2,0.5,1.6,0.4,0.9,34.6,16.8,26.1,0,0,10.1,5,0,2.1,81,11,108,756,60,19,21,16,6,27,54,17,17,2,1,0,0,0,0,0.90967,0.78141,13.54,3.51,10.03,27.13,31.97,4.84,65,Southeastern Plains,1354.02,1363.28,9.26
40,AL01992,31.96694,-85.65,TR-BIG SANDY CREEK,PF,1978,37,NA,358,71,47,9.760753177,42.23748323,3.813741547,0.029436909,NA,258.618,0.485623125,0.049752636,0.000254514,57973.56,NA,NA,7947,1.14,2,0.3,9.6,0.1,0,0,0.1,24.2,20.4,25.5,0,0,3.3,11,0,5.6,72,19,97,330,40,4,3,20,19,13,38,25,29,8,11,0,0,0,0,0.81377,0.86329,14.23,3.28,10.94,26.68,31.26,4.58,65,Southeastern Plains,1354.02,1363.28,9.26
41,AL05901,34.39667,-87.98833,Bear Creek,CRSO,1969,46,62,39100,39700,2550,1.2949952,108.9525286,27.00835453,124.0622152,2.001003471,351.58,598.28769,462,2.944869508,3145374,176.8,6.03E+12,16836,1.31,2,2.2,0,0.2,0.3,0,0.3,36.5,12.5,21.1,0,0,17.1,8.3,0,1.5,100,12,137,1121,51,5,7,33,7,29,71,13,14,1,1,0,0,0,0,0.7737,0.45191,11.51,3.66,7.85,25.84,30.83,4.99,65,Southeastern Plains,1354.02,1363.28,9.26
42,AL05902,34.545,-87.975,Cedar Creek,CRO,1979,36,92,34500,105740,29900,8.3770002,108.9525286,10.61910566,51.08200834,0.555239221,351.58,463.60821,55.34299517,0.476742977,36881052,176.8,6.03E+12,16836,1.31,2,3.3,0.2,0.3,0.6,0.1,0.5,41.8,12.7,21,0,0,11.4,3.6,0,4.5,94,24,130,638,29,6,7,21,5,22,60,19,22,4,6,0,0,0,0,0.72875,0.21483,11.54,3.68,7.86,25.87,30.87,5,65,Southeastern Plains,1354.02,1363.28,9.26
43,AL05903,34.455,-87.982,Little Bear Creek,CRSO,1975,40,79,18700,41400,21100,3.8849856,NA,NA,43.124901,0.545884823,NA,157.98939,40.66666667,0.591008882,26026428,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52,3.67,7.86,25.85,30.85,5,65,Southeastern Plains,1354.02,1363.28,9.26
44,AL07701,34.79833,-87.38167,Tennessee River,NHR,1936,79,68,665000,1069000,720000,183.929787,NA,NA,23.52029804,0.345886736,NA,76637.8041,416.6688669,0.046846526,888105600,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.64,3.67,7.98,25.98,30.94,4.96,71,Interior Plateau,1289.56,1353.93,64.38
45,AL07702,34.795,-87.625,Tennessee River,HCNSR,1924,91,103,671000,640200,587000,60.7029,229.4070107,8.306094297,42.67990202,0.414367981,322.517,79642.1925,1312,0.147971916,724052760,154.8,6.03E+12,17289,1.26,2,0.8,3.9,0.1,0.1,0,0.2,26.7,5,13.4,0,0,26.2,23.1,0,0.5,91,27,126,1054,131,3,3,49,23,23,65,7,8,0,0,0,0,0,0,0.8571,0.53255,11.9,3.69,8.21,26.21,31.21,5,71,Interior Plateau,1289.56,1353.93,64.38
46,AL09301,34.27167,-87.695,Bear Creek,CRO,1978,37,79,42000,36600,19300,4.451546,NA,NA,33.27265089,0.421172796,NA,282.30891,63.41818182,0.4259833,23806164,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,3.62,7.92,25.73,30.68,4.95,68,Southwestern Appalachians,1438.69,1485.93,47.24
47,AL09501,34.42167,-86.39333,Tennessee River,NCHR,1939,76,78,650000,1049000,886000,284.089572,1007.667724,16.86493195,14.94298564,0.191576739,304.61,63325.2555,222.9059829,0.02394806,1092863280,169.5,6.03E+12,16663,1.23,2,0.3,6.5,0.3,0.7,0.1,0.8,25.9,7.4,15.7,0,0,28.4,13.4,0,0.6,100,24,137,1057,137,8,7,34,12,33,73,8,8,0,0,0,0,0,0,0.86254,0.53495,11.75,3.55,8.2,25.76,30.58,4.82,68,Southwestern Appalachians,1438.69,1485.93,47.24
48,AL83001,33.3,-85.6,TALLAPOOSA,HFR,1983,32,121,310000,426000,426000,43.14357446,195.3033245,8.387769075,39.95863634,0.330236664,2034.99,3763.25547,87.22633899,0.164328617,525462480,NA,3.15E+12,8468,2.14,3,1.4,1,0.3,0.6,0.1,0.6,38.2,17.5,22,0,0,12.6,4.5,0,1.2,66,20,91,550,71,10,9,16,6,30,65,21,19,1,1,0,0,0,0,0.76558,0.31197,12.32,3.42,8.91,25.51,30.17,4.67,45,Piedmont,1204.47,1274.98,70.51
49,AR00001,34.78355,-92.85,ALUM FORK CREEK,S,1938,77,110,64911,63264,41799,5.1799808,38.20612542,4.735477889,49.42488654,0.44931715,54.259,111.36957,21.5,0.586600203,51558230.52,NA,8.04E+12,21918,0.75,1,0,0,0,0,0,0,39.3,33.8,26.4,0,0,0.1,0,0,0.4,89,10,139,402,19,2,4,0,0,0,0,43,94,1,2,0,0,0,0,0.50417,0.16499,12.21,4.02,8.19,26.72,32.15,5.43,36,Ouachita Mountains,1362.21,1345.45,-16.76
50,AR00004,34.71669,-92.63353,BRUSHY CREEK,S,1956,59,86,6416,5936,2240,1.0724179,18.6961411,5.092896391,22.39994858,0.260464518,NA,NA,NA,0.584286157,2762995.2,NA,8.04E+12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4,8.25,26.92,32.32,5.41,36,Ouachita Mountains,1362.21,1345.45,-16.76
