FID,UID,SITE_ID,VISIT_NO,INDEX_NLA,AGGR_ECO3_,AGGR_ECO9_,AREA_HA,COMID2012,ELEVATION,EPA_REG,LAKE_ORIGI,STATE,WGT_ALL,REF_NLA12_,RT_NLA12,RT_NLA12_B,RT_NLA12_Z,CHLX_RESUL,CHLX_UNITS,INDEX_SITE,INDEX_LAT_,INDEX_LON_,COLOR_RESU,COLOR_UNIT,CHLORIDE_R,CHLORIDE_U,NTL_RESULT,NTL_UNITS,PTL_RESULT,PTL_UNITS,TROPHIC_ST,BENT_COND,MMI_BENT_N,ZOOP_COND,MMI_ZOOP_N,AMITOTAL,HORIZDD,LitCvrQc3O,LitRipCvrQ,RDis_IX,RVegQc3OE,VERTDD,MICX_RESUL,MICX_UNITS,ATRAZINE_R,ATRAZINE_U,TOTALHG_RE,TOTALHG_UN,METHYLMERC,METHYLME_1,NAME
10,6799,NLA12_MT-126,1,Y,PLNLOW,NPL,41.17842821,4303497,679.33,Region_8,MAN_MADE,MT,7.757026243, ,S,S,S,1.572,ug/L,1.4,48.98461,-104.37423,38,APHA Pt-Co,164.326,mg/L,3.195,mg/L,355,ug/L,EUTROPHIC,Poor,28.2,Poor,2.07,0.7125,0.833333333,0.268810574,0.10962864,0.346153846,0.008608219,0.122222222,0.23202,ppb,0,ppb,43.66,ng/g,0.43,ng/g,Upper Missouri
11,8278,NLA12_MT-135,1,Y,PLNLOW,NPL,9.820179156,12735500,1128.79,Region_8,MAN_MADE,MT,64.55393722, ,S,S,S,231.12,ug/L,7.2,48.02636,-109.62344,38,APHA Pt-Co,4.49,mg/L,3.344,mg/L,343,ug/L,EUTROPHIC,Poor,19,Good,43.63,0.12,2.18,0.295124862,0.17639262,0.921259843,0.103839686,0.45,0.26078,ppb,0,ppb,29.43,ng/g,0.93,ng/g,Upper Missouri
12,6742,NLA12_MT-138,1,Y,PLNLOW,NPL,4.34004528,12351485,912.18,Region_8,MAN_MADE,MT,64.55393722,R,R,R,R,11.296,ug/L,3.7,47.76161,-108.43257,18,APHA Pt-Co,4.866,mg/L,0.883,mg/L,78,ug/L,MESOTROPHIC,Fair,35.3,Poor,17.97,0.16,3.56,0.500679936,0.321369547,0.425899727,0.213424841,0.5,0.44128,ppb,0,ppb,51.38,ng/g,0.31,ng/g,Upper Missouri
13,6888,NLA12_MT-142,1,Y,PLNLOW,NPL,58.44614936,3101659,590.91,Region_8,NATURAL,MT,8.443021761, ,R,R,R,2.224,ug/L,1.5,48.4925,-104.31198,85,APHA Pt-Co,31.387,mg/L,1.901,mg/L,103,ug/L,EUTROPHIC,Fair,30.7,Poor,29.52,0.665,0,1.221475337,0.582170459,0.364864865,0.373343387,0,0.10582,ppb,0,ppb,24.21,ng/g,0.1,ng/g,Upper Missouri
14,7065,NLA12_MT-143,1,Y,PLNLOW,NPL,19.11884624,12654603,1408.26,Region_8,NATURAL,MT,16.62219909, ,S,S,S,0.63,ug/L,5.6,48.62132,-113.10869,20,APHA Pt-Co,4.13,mg/L,1.314,mg/L,29,ug/L,MESOTROPHIC,Poor,26,Poor,4.52,0.3175,0,0.079991836,0.031787302,0.648989899,0.013773151,0,0,ppb,0,ppb,26,ng/g,1.6,ng/g,Upper Missouri
15,8008,NLA12_MT-144,1,Y,PLNLOW,NPL,125.3618461,12617544,1500.03,Region_8,MAN_MADE,MT,8.443021761, ,S,S,S,5,ug/L,3.5,46.31434,-110.03271,13,APHA Pt-Co,6.004,mg/L,0.601,mg/L,91,ug/L,EUTROPHIC,Fair,38.3,Poor,24.03,0.4275,17.5,0.0506044,0.035137313,0.553846154,0.026045382,1.77,0,ppb,0,ppb,21.29,ng/g,0.12,ng/g,Upper Missouri
16,8250,NLA12_MT-151,1,Y,PLNLOW,NPL,9.503719636,12644325,913.5,Region_8,MAN_MADE,MT,64.55393722, ,T,T,T,57.6,ug/L,1.6,48.37846,-110.98307,58,APHA Pt-Co,3.226,mg/L,3.55,mg/L,738,ug/L,HYPEREUTROPHIC,Fair,40,Good,66.62,0.875,10.93,0,0.004066877,0.478149449,0.006850832,1.81,0.06361,ppb,0,ppb,39.68,ng/g,0.45,ng/g,Upper Missouri
17,7625,NLA12_MT-152,1,Y,WMTNS,WMT,11.18528712,4222268,2675.93,Region_8,NATURAL,MT,35.0913092,R,R,R,R,1.204,ug/L,12.5,45.57721,-113.00423,8,APHA Pt-Co,0.105,mg/L,0.249,mg/L,11,ug/L,OLIGOTROPHIC,Fair,53.6,Good,85.65,0.035,0,1.549656715,1.370210489,0,1.401903156,0,0.06363,ppb,0,ppb,152.54,ng/g,0.6,ng/g,Upper Missouri
18,6821,NLA12_MT-154,1,Y,PLNLOW,NPL,78.11089518,4304039,624.14,Region_8,NATURAL,MT,8.443021761, ,T,T,T,35.77142857,ug/L,1,48.84833,-104.05853,34,APHA Pt-Co,1149.902,mg/L,13.413,mg/L,3436,ug/L,MESOTROPHIC,Poor,0,Fair,33.33,0.02,0.55,0.120787673,0.035652779,0.385204082,0,0.03,0.71709,ppb,0,ppb,16.93,ng/g,1.7,ng/g,Upper Missouri
19,7472,NLA12_MT-156,1,Y,PLNLOW,NPL,150.7199749,12421133,1672.89,Region_8,MAN_MADE,MT,8.443021761, ,S,S,S,1.346666667,ug/L,12.1,46.62572,-110.73583,9,APHA Pt-Co,0.855,mg/L,0.16,mg/L,28,ug/L,MESOTROPHIC,Fair,38.6,Poor,25.4,0.205,7,0.486506304,0.495890406,0.707755381,0.516696338,1.7,0,ppb,0,ppb,61.5,ng/g,0.35,ng/g,Upper Missouri
20,8385,NLA12_MT-161,1,Y,PLNLOW,NPL,21.449213,12461540,619.62,Region_8,MAN_MADE,MT,32.99937569, ,T,T,T,5.32,ug/L,6.8,48.05463,-106.44222,14,APHA Pt-Co,27.988,mg/L,0.604,mg/L,65,ug/L,MESOTROPHIC,Poor,27.9,Good,53.37,0.805,0,2.775347727,1.498158693,0.68728223,0.705911749,0,0.12516,ppb,0,ppb,38.02,ng/g,0.28,ng/g,Upper Missouri
21,8435,NLA12_MT-177,1,Y,PLNLOW,NPL,13.76857492,12308629,758.1,Region_8,MAN_MADE,MT,16.62219909, ,S,S,S,2.197333333,ug/L,2,47.87615,-107.12214,20,APHA Pt-Co,12.754,mg/L,1.353,mg/L,46,ug/L,EUTROPHIC,Fair,35.1,Poor,16.78,0.38,6,0.010222089,0.010174196,0.92481203,0.010443597,0.96,0.11185,ppb,0,ppb,35.53,ng/g,0.46,ng/g,Upper Missouri
22,7811,NLA12_AR-109,1,Y,PLNLOW,CPL,4.149225261,3748090,107.3,Region_6,MAN_MADE,AR,549.2845394, ,S,S,S,10.32,ug/L,7.8,33.81787,-94.06009,20,APHA Pt-Co,7.534,mg/L,0.656,mg/L,39,ug/L,EUTROPHIC,Good,60.3,Good,58.42,0.02,0,1.029472097,0.895578946,0.926470588,0.708652578,0,0.05948,ppb,0,ppb,62.5,ng/g,0.67,ng/g,Red River
23,6628,NLA12_LA-102,1,Y,PLNLOW,CPL,1181.521367,19918144,30.36,Region_6,MAN_MADE,LA,117.2034448, ,T,T,T,11.664,ug/L,4.2,31.37753,-92.7412,17,APHA Pt-Co,19.521,mg/L,0.538,mg/L,112,ug/L,EUTROPHIC,Poor,33.2,Poor,35.68,0.27,0,0.360850604,0.43262419,0.522727273,0.49775663,0,0.09236,ppb,0,ppb,82.82,ng/g,0.3,ng/g,Red River
24,6718,NLA12_LA-104,1,Y,PLNLOW,CPL,6276.012165,120053896,42.57,Region_6,MAN_MADE,LA,18.65675912, ,S,S,S,16.16,ug/L,3.5,32.35488,-93.39837,67,APHA Pt-Co,8.524,mg/L,0.691,mg/L,66,ug/L,MESOTROPHIC,Poor,2.6,Fair,57.8,0.3975,0,0.501024703,0.466484987,0.879518072,0.384001771,0,0.14519,ppb,0.06,ppb,182.89,ng/g,0.89,ng/g,Red River
25,6643,NLA12_LA-105,1,Y,PLNLOW,CPL,652.3204489,19918180,30.12,Region_6,MAN_MADE,LA,5.970162918, ,S,S,S,12.096,ug/L,2,31.29181,-92.74293,22,APHA Pt-Co,5.81,mg/L,0.358,mg/L,68,ug/L,MESOTROPHIC,Good,54.8,Good,60.45,0.622222222,0,1.313551457,0.997145794,0.695918367,0.512156463,0,0.174,ppb,0,ppb,40.4,ng/g,0.35,ng/g,Red River
26,6723,NLA12_LA-154,1,Y,PLNLOW,CPL,5.391149697,8341381,43.21,Region_6,MAN_MADE,LA,179.7496919, ,T,T,T,250,ug/L,1.1,32.35134,-93.7704,75,APHA Pt-Co,5.135,mg/L,6.544,mg/L,1054,ug/L,EUTROPHIC,Poor,15,Fair,49.77,0.835,0,1.104858623,0.898811805,0.654768392,0.56060479,0,0.09167,ppb,0.22,ppb,139.42,ng/g,0.3,ng/g,Red River
27,6724,NLA12_LA-155,1,Y,PLNLOW,CPL,4.504617221,19935187,75.9,Region_6,MAN_MADE,LA,179.7496919, ,S,S,S,5.266666667,ug/L,3,32.58066,-93.2584,25,APHA Pt-Co,7.695,mg/L,0.353,mg/L,23,ug/L,MESOTROPHIC,Good,53.9,Good,64.58,0.39,0,0.635492302,0.670377364,0.641666667,0.665442552,0,0.09541,ppb,0.42,ppb,109.09,ng/g,0.8,ng/g,Red River
28,6644,NLA12_LA-161,1,Y,PLNLOW,CPL,27.34948818,167300357,23.19,Region_6,NATURAL,LA,50.03298042, ,S,S,S,13.648,ug/L,5.9,31.49266,-92.68829,16,APHA Pt-Co,10.862,mg/L,0.615,mg/L,55,ug/L,MESOTROPHIC,Poor,24.1,Fair,55.47,0.9825,0,1.038999438,0.879486201,0.277777778,0.620377704,0,0.08503,ppb,0,ppb,32.07,ng/g,0.35,ng/g,Red River
29,8462,NLA12_OK-102,1,Y,PLNLOW,SPL,1546.242046,681831,408.86,Region_6,MAN_MADE,OK,1.519730888, ,S,S,S,40.5,ug/L,5,35.20776,-98.48717,1,APHA Pt-Co,11.5,mg/L,2.12,mg/L,128,ug/L,MESOTROPHIC,Poor,10.4,Poor,27.7,0,27.9,0.45288298,0.221952534,0.201162791,0.077258666,0.82,0.35011,ppb,0.1,ppb,25.6,ng/g,0.26,ng/g,Red River
30,6270,NLA12_OK-118,1,Y,PLNLOW,SPL,141.5132383,556549,499.88,Region_6,MAN_MADE,OK,2.684319352, ,S,S,S,0.65,ug/L,2.5,35.176258,-99.077094,73,APHA Pt-Co,15.6,mg/L,1.71,mg/L,190,ug/L,MESOTROPHIC,Poor,18.7,Poor,8.78,0.158333333,0,1.230260443,1.249146845,0.555072464,1.298444383,0,0.03939,ppb,0.14,ppb,27.27,ng/g,0.89,ng/g,Red River
31,7402,NLA12_OK-119,1,Y,PLNLOW,SPL,160.7371379,19959244,245.42,Region_6,MAN_MADE,OK,2.684319352, ,S,S,S,38.8,ug/L,7.5,34.28727,-97.16629,27,APHA Pt-Co,10,mg/L,1.18,mg/L,17,ug/L,MESOTROPHIC,Good,55.2,Fair,33.2,0.005,6.49,0.132887155,0.708555417,0.25,1.106553951,0.48,0.09478,ppb,0,ppb,31.43,ng/g,1.4,ng/g,Red River
32,6236,NLA12_OK-122,1,Y,PLNLOW,SPL,51.21724256,673854,310.31,Region_6,MAN_MADE,OK,2.437808433, ,S,S,S,15.6,ug/L,2.2,34.373954,-98.338654,95,APHA Pt-Co,28.6,mg/L,1.05,mg/L,67,ug/L,MESOTROPHIC,Poor,24.8,Poor,15.13,0.035,30.4,0.346842559,0.310453567,0.460126582,0.295797072,1.76,0.14528,ppb,0,ppb,22.4,ng/g,0.09,ng/g,Red River
33,7739,NLA12_OK-132,1,Y,PLNLOW,SPL,14.49195965,19956504,354.89,Region_6,MAN_MADE,OK,114.9509783, ,S,S,S,3.76,ug/L,2.6,34.729514,-97.773089,23,APHA Pt-Co,31.9,mg/L,0.87,mg/L,5,ug/L,EUTROPHIC,Good,52.7,Good,51.77,0.875,2.4,0.104443082,0.466517885,0.065217391,0.717461483,0.84,0.07578,ppb,0,ppb,27.65,ng/g,0.38,ng/g,Red River
34,8463,NLA12_OK-285,1,Y,PLNLOW,SPL,6.885148181,6066112,254.51,Region_6,MAN_MADE,OK,47.27999775, ,S,S,S,21.7,ug/L,4.7,34.67107,-96.65185,18,APHA Pt-Co,10,mg/L,1.29,mg/L,32,ug/L,EUTROPHIC,Good,59.6,Fair,39.37,0.195,2.31,0.357161457,0.495509943,0.310546481,0.600773947,0.47,0.07148,ppb,0,ppb,120.83,ng/g,0.65,ng/g,Red River
35,7598,NLA12_OK-288,1,Y,PLNLOW,CPL,5.123740445,698456,212.74,Region_6,MAN_MADE,OK,47.27999775,R,R,R,R,3.06,ug/L,4,34.22839,-96.41856,27,APHA Pt-Co,10,mg/L,0.81,mg/L,7,ug/L,MESOTROPHIC,Fair,50.7,Fair,49.73,0.725,5.55,1.494923438,1.088868608,0.27875226,0.880504771,1.01,0.15856,ppb,0,ppb,92.88,ng/g,0.34,ng/g,Red River
36,7764,NLA12_OK-292,1,Y,PLNLOW,SPL,40.78295751,19956678,363.43,Region_6,MAN_MADE,OK,42.66863825, ,S,S,S,91.1,ug/L,1.5,34.643358,-97.854328,44,APHA Pt-Co,29.3,mg/L,2.85,mg/L,209,ug/L,NA,Not Assessed,NA,Good,44.18,0,11.77777778,0.321995799,0.211482743,0.254731458,0.145350561,0.355555556,0.11584,ppb,0,ppb,19.84,ng/g,0.26,ng/g,Red River
37,6318,NLA12_OK-293,1,Y,PLNLOW,SPL,10.13010183,680119,552.54,Region_6,MAN_MADE,OK,67.5835424, ,T,T,T,74.2,ug/L,2,35.445839,-99.290301,53,APHA Pt-Co,24.7,mg/L,2.8,mg/L,834,ug/L,EUTROPHIC,Good,45.6,Poor,32.6,0,23.5,0.051110444,0.033121143,0.095454546,0.022317606,2.78,1.09731,ppb,0.14,ppb,25.15,ng/g,1.6,ng/g,Red River
38,7640,NLA12_TX-113,1,Y,PLNLOW,CPL,7062.473612,1010832,69.44,Region_6,MAN_MADE,TX,7.741669458, ,S,S,S,40.64,ug/L,5.1,32.79069,-94.60765,22,APHA Pt-Co,17.452,mg/L,0.869,mg/L,60,ug/L,EUTROPHIC,Fair,42.1,Good,59.58,0.175,45.7,0.766771537,0.580819689,0.277419355,0.300652699,1.1,0.15668,ppb,0,ppb,37.97,ng/g,0.4,ng/g,Red River
39,6805,NLA12_TX-157,1,Y,PLNLOW,CPL,21.66033969,1016905,51.16,Region_6,MAN_MADE,TX,24.85716519, ,S,S,S,24.48,ug/L,5.8,32.84309,-94.04559,58,APHA Pt-Co,46.561,mg/L,0.579,mg/L,58,ug/L,EUTROPHIC,Poor,40.1,Fair,56.27,0,6.3,0.332896277,0.377425859,0.736535552,0.4026867,1.45,0,ppb,0,ppb,68.18,ng/g,0.6,ng/g,Red River
40,6647,NLA12_TX-165,1,Y,PLNLOW,CPL,2386.696493,8347705,137.5,Region_6,MAN_MADE,TX,22.92651159,R,R,R,R,7.9,ug/L,11,33.84722,-95.56208,9,APHA Pt-Co,5.617,mg/L,0.436,mg/L,26,ug/L,EUTROPHIC,Good,60.1,Good,65.17,0.26,4,0.565877609,0.66397698,0.134146342,0.854598789,0.59,0.06285,ppb,0.29,ppb,40.26,ng/g,0.42,ng/g,Red River
41,6762,NLA12_TX-195,1,Y,PLNLOW,CPL,17.08974416,19947908,82.39,Region_6,MAN_MADE,TX,44.38204899, ,S,S,S,42.66666667,ug/L,2.5,33.51895,-94.12343,23,APHA Pt-Co,8.339,mg/L,0.655,mg/L,89,ug/L,MESOTROPHIC,Good,58.4,Good,61.42,0.1475,0,0.359799148,0.353140743,0.73372093,0.324075363,0,0.12833,ppb,0.14,ppb,26.65,ng/g,0.4,ng/g,Red River
42,8646,NLA12_TX-232,1,Y,PLNLOW,CPL,2.07953227,1009902,125,Region_6,MAN_MADE,TX,444.4226842, ,S,S,S,11.968,ug/L,19.3,33.17064,-95.09152,24,APHA Pt-Co,15.683,mg/L,0.979,mg/L,35,ug/L,MESOTROPHIC,Good,73.3,Poor,40.08,0.9175,2.73,1.80702574,1.436508176,0.514620939,0.966860583,0.43,0.06801,ppb,0,ppb,82.47,ng/g,0.86,ng/g,Red River
43,7392,NLA12_AR-101,1,Y,PLNLOW,CPL,105.7849996,22845861,74.14,Region_6,MAN_MADE,AR,140.6756261, ,S,S,S,52.4,ug/L,1.9,34.53654,-92.27022,37,APHA Pt-Co,1.447,mg/L,0.92,mg/L,88,ug/L,MESOTROPHIC,Poor,22.4,Good,62.12,0.205,0,0.89796835,0.969658129,0.327419355,1.003337449,0,0.01993,ppb,0,ppb,222.22,ng/g,1,ng/g,Arkansas
44,8021,NLA12_AR-101,2,N,PLNLOW,CPL,105.7849996,22845861,74.14,Region_6,MAN_MADE,AR,140.6756261, ,S,S,S,26.76,ug/L,2.1,34.53511,-92.26932,41,APHA Pt-Co,1.467,mg/L,0.791,mg/L,80,ug/L,EUTROPHIC,Poor,28.2,Fair,56.82,0.15,0,0.71538247,0.863410762,0.356097561,1.001562677,0,0.08067,ppb,0,ppb,NA,NA,NA,NA,Arkansas
45,7812,NLA12_AR-104,1,Y,EHIGH,SAP,44.682124,7764393,203.73,Region_6,MAN_MADE,AR,174.9925497,R,R,B,R,6.624,ug/L,9.1,35.56169,-93.63668,16,APHA Pt-Co,1.4,mg/L,0.175,mg/L,30,ug/L,MESOTROPHIC,Poor,35.4,Good,73.98,0.045,0,0.84872567,0.981604328,0.286842105,0.861089008,0,0.04275,ppb,0,ppb,59.43,ng/g,1.2,ng/g,Arkansas
46,8121,NLA12_AR-106,1,Y,EHIGH,SAP,222.5927542,7548451,82.69,Region_6,MAN_MADE,AR,154.1650994, ,S,S,S,59.2,ug/L,5.4,36.07315,-91.14627,20,APHA Pt-Co,3.588,mg/L,1.385,mg/L,107,ug/L,EUTROPHIC,Poor,25,Fair,63.78,0.17,0,0.698805649,1.649112045,0.422727273,1.483577491,0,0.07863,ppb,0,ppb,57.06,ng/g,0.52,ng/g,Arkansas
47,7173,NLA12_CO-101,1,Y,PLNLOW,SPL,303.645989,1594371,1181.28,Region_8,MAN_MADE,CO,19.12157378, ,S,S,S,12.667,ug/L,2.2,38.30133,-102.75449,11,APHA Pt-Co,585.102,mg/L,3.058,mg/L,76,ug/L,MESOTROPHIC,Not Assessed,NA,Fair,33.37,0.225,708.73,0.234399582,0.707154993,0,1.037706086,13.8,0.15512,ppb,0.27,ppb,30.14,ng/g,0.18,ng/g,Arkansas
48,8129,NLA12_CO-101,2,N,PLNLOW,SPL,303.645989,1594371,1181.28,Region_8,MAN_MADE,CO,19.12157378, ,S,S,S,64.4,ug/L,1.8,38.30156,-102.75471,22,APHA Pt-Co,604.256,mg/L,3.531,mg/L,124,ug/L,MESOTROPHIC,Not Assessed,NA,Fair,34.95,0.01,744.99,0.245330132,0.417558677,0.216666667,0.542709106,14,0.28017,ppb,0.31,ppb,NA,NA,NA,NA,Arkansas
49,6976,NLA12_CO-108,1,Y,WMTNS,WMT,10.22284808,946899,3147,Region_8,MAN_MADE,CO,139.0707292,R,R,B,R,0.371,ug/L,4.9,38.79087,-105.10706,10,APHA Pt-Co,0.346,mg/L,0.071,mg/L,25,ug/L,MESOTROPHIC,Not Assessed,NA,Good,66.6,0.25,3.51,0.820696125,0.431339972,0.152294854,0.321891214,0.65,0.09396,ppb,0,ppb,43.82,ng/g,2.2,ng/g,Arkansas
50,7476,NLA12_CO-125,1,Y,WMTNS,WMT,1.638010034,916277,2959.99,Region_8,NATURAL,CO,329.2857143,R,R,R,R,1.264,ug/L,6.5,39.22084,-106.39173,20,APHA Pt-Co,0.073,mg/L,0.061,mg/L,11,ug/L,OLIGOTROPHIC,Poor,32.6,Good,70.5,0.155,0,0.482359814,0.663346356,0.227419355,0.751417153,0,0,ppb,0,ppb,113.21,ng/g,0.79,ng/g,Arkansas
51,7395,NLA12_CO-129,1,Y,PLNLOW,SPL,2.905501949,936730,1720.86,Region_8,NATURAL,CO,329.2857143, ,S,S,S,3.104,ug/L,2.1,37.28533,-104.33716,8,APHA Pt-Co,53.931,mg/L,0.744,mg/L,45,ug/L,MESOTROPHIC,Good,42.5,Good,57.55,0.7825,21.4,0.417424065,0.64277301,0.191991786,0.875225535,0.4,0.09548,ppb,0,ppb,22.02,ng/g,0.08,ng/g,Arkansas
52,6606,NLA12_KS-102,1,Y,PLNLOW,SPL,127.3005653,21063412,685.82,Region_7,MAN_MADE,KS,19.06118913, ,S,S,S,8.564705882,ug/L,6,37.39579,-99.78541,9,APHA Pt-Co,52.453,mg/L,0.885,mg/L,53,ug/L,EUTROPHIC,Fair,39.7,Fair,35.32,0.2475,0,0.102220889,0.227891664,0.668181818,0.316940665,0,0.12417,ppb,0.25,ppb,23.4,ng/g,0.25,ng/g,Arkansas
53,6570,NLA12_KS-105,1,Y,PLNLOW,SPL,56.79395135,21148492,479.33,Region_7,MAN_MADE,KS,17.31073011, ,S,S,S,44.4,ug/L,1.4,37.65496,-98.2599,20,APHA Pt-Co,22.766,mg/L,1.409,mg/L,190,ug/L,EUTROPHIC,Good,46.7,Good,46.82,0.4625,0,1.149731974,0.954165292,0.461904762,0.854279724,0,0.11708,ppb,0,ppb,17.39,ng/g,0.23,ng/g,Arkansas
54,6796,NLA12_KS-106,1,Y,PLNLOW,SPL,13.48185356,21779512,252.08,Region_7,MAN_MADE,KS,70.9791242, ,S,S,S,29.33333333,ug/L,3,37.19252,-95.98709,30,APHA Pt-Co,4.68,mg/L,1.024,mg/L,95,ug/L,EUTROPHIC,Good,42.2,Good,67.38,0,0,0.135109348,0.670778205,0.815254237,1.041461088,0,0.13278,ppb,0,ppb,42.35,ng/g,1.7,ng/g,Arkansas
55,6830,NLA12_KS-107,1,Y,PLNLOW,TPL,16.10220848,20951902,391.96,Region_7,MAN_MADE,KS,60.00397997, ,S,S,S,7.586206897,ug/L,2.8,38.12636,-96.31012,17,APHA Pt-Co,29.508,mg/L,0.368,mg/L,28,ug/L,EUTROPHIC,Good,53.4,Good,71.47,0.51,0,0.045431506,0.613930065,0.929078014,1.004435258,0,0.11804,ppb,0,ppb,21.68,ng/g,0.83,ng/g,Arkansas
