FID,FID_1,NIDID,Dam_Name,Other_Dam_,GNIS_Name,State,Latitude,Longitude,County,River,Purposes,Year_Compl,Reservoir_,Hydraulic_,NID_Height,Maximum_Di,Maximum_St,Normal_Sto,NID_Storag,NID_Stor_1,Surface_Ar,Surface__1,Surface__2,Surface__3,Surface__4,Drai_ge_Ar,Drai_ge__1,Drai_ge__2,Drai_ge__3,Reservoir1,Reservoi_1,Reservoi_2,Shoreline_,Mean_Depth,I_ex_of_Ba,Developmen,Maximum_De,Mean_Dep_1,Mean_Q,Catchment_,Relative_D,Surface__5,Lake_Volum,Lake_Vol_1,Lake_Vol_2,AreaSqKm,Elevation,ReachCode,E2RF1_,HUC,MEANV,STRAHLER,RR,REACH,NUTCODE,PSEWER,PSEPTIC,POTHER,WATER,WETLA_S,URBGRASS,LURBAN,HURBAN,COMM,FORESTD,FORESTE,FORESTM,SHRUB,GRASS,PASTURE,CROPS,ORCHARDS,BARREN,TNLOADB,TPLOADB,TNYLDB,TPYLDB,TNCONCB,TPCONCB,TNLOADBW,TNYLDBW,TNCONCBW,TNLOAD,TPLOAD,TNYLD,TPYLD,TNCONC,TPCONC,TNPOINT,TPPOINT,TNFERT,TPFERT,T_TMOS,TNFOREST,TPFOREST,TNBARREN,TPBARREN,TNSHRUB,TPSHRUB,TNGRASS,TPGRASS,TNMAN,TPMAN,T_FRAC,TPDFRAC,BASIN NAME
10,587,MT00014,NILAN EAST DAM, ,ND,MT,47.4729,-112.5179,LEWIS & CLARK,TR-ELK CREEK,I,1951,64,51,51,8620,15600,10092,15600,679534440,525,22869000,0.8203125,2124601.5,2.1246015,3.55,9.1944645,2272,98974000,33400.77606,10.18055654,6.325906581,1.970278733,29.7142175,0.81782836,1.747895147,51,0.582631716,2.068,4.327619048,0.550663333,0.1706743,439606510.8,12448280.16,12.44828016,1.639,949.8,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
11,588,MT00020,"MARTINSDALE, NORTH DAM", ,Martinsdale Reservoir,MT,46.452,-110.2681,WHEATLAND,TR-MUSSELSHELL RIVER,I,1939,76,91,91,1060,38958,23348,38958,1697006584,985,42906600,1.5390625,3986157.1,3.9861571,15.7,40.662843,10048,437716000,52248.41169,15.92531588,9.895535683,2.250120317,39.55117824,0.552975969,1.303884997,91,0.434628332,0.5424,10.20101523,0.5351097,0.13841164,1017036545,28799291.04,28.79929104,3.851,4779,1.00E+13,30207,10040201,0.28,1,10040201080,31082,4,50,50,0,4.9,0.2,0,0,0,0,0.6,0.8,0,1.1,89.7,2.8,0,0,0,1720,557,25,8,0.2,0.06,2061,30,0.24,113,6,2,0,0.28,0.01,1,0,5,2,27,2,1,0,0,1,1,63,95,1,1,0,0,Upper Missouri
12,589,MT00022,WILLOW CREEK DAM, ,Willow Creek Reservoir,MT,45.7138,-111.6997,MADISON,WILLOW CREEK,I,1938,77,105,105,8300,26600,18000,26600,1158693340,885,38550600,1.3828125,3581471.1,3.5814711,155,401.44845,99200,4321400000,47536.84196,14.48922943,9.003192647,2.1597797,30.05642817,0.652590387,0.858755091,105,0.286251697,1.5177,112.0903955,0.429009833,0.161308344,784078200,22202640,22.20264,1.485,1440.5,1.00E+13,31198,10020005,0.28,1,10020005065,32083,2,3,85,11,0.3,0,0,0,0,0.2,0.4,6.7,0,6.1,65.4,3.1,17.8,0,0,1961,323,22,4,0.14,0.02,2285,25,0.17,4733,1229,52,14,3.55,0.93,2,1,26,21,18,6,3,0,0,5,4,32,59,10,12,0.0524,0,Upper Missouri
13,590,MT00025,FORT PECK DAM,FORT PECK LAKE,Fort Peck Lake,MT,48,-106.4167,MCCONE,MISSOURI RIVER,CHINR,1957,58,220,256,250000,19100000,15400000,19100000,8.32E+11,93000,4051080000,145.3125,376357980,376.35798,57725,149507.1728,36944000,1.61E+12,8107132.158,2471.053882,1535.442188,35.93159882,205.3758726,0.130085647,2.800580081,220,0.933526694,5.9,397.2473118,0.285962747,0.019812911,6.71E+11,18995592000,18995.592,944.116,684.6,1.00E+13,31119,10040104,0.34,1,10040104132,31968,4,0,100,0,1.1,0.1,0,0,0,0,0.5,20.2,0,8.5,35.9,0.5,31.8,0,1.5,460,358,2,2,0.09,0.07,722,3,0.14,7589,1735,35,8,1.46,0.34,0,0,13,9,26,22,16,6,0,9,9,21,58,4,8,0.14579,0.01053,Upper Missouri
14,591,MT00073,"LEBO #3,EAST DAM",LEBO LAKE,Lebo Lake,MT,46.3075,-110.0265,WHEATLAND,TR-LEBO CREEK,I,1973,42,27,27,110,4735,3105,4735,206256126.5,413,17990280,0.6453125,1671353.18,1.67135318,2.7,6.992973,1728,75276000,22961.15408,6.998559763,4.348704816,1.52710694,11.46486472,1.827321478,1.273873858,27,0.424624619,.,4.18401937,0.239549584,0.436389724,135253489.5,3829955.4,3.8299554,1.258,.,1.00E+13,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
15,592,MT00117,DELMOE LAKE DAM, ,Delmoe Lake,MT,45.9843,-112.3416,JEFFERSON,BIG PIPESTONE CREEK,I,1914,101,60,60,1900,9900,6585,9900,431243010,310,13503600,0.484375,1254526.6,1.2545266,22.9,59.310771,14656,638452000,29546.10151,9.005651741,5.59585435,2.268141278,31.93541056,1.108733722,1.596770528,60,0.532256843,0.4839,47.27741935,0.770181655,0.154451447,286841941.5,8122465.8,8.1224658,1.13,.,1.00E+13,28910,10020005,0.28,1,10020005022,29779,2,100,0,0,1.3,0.2,0,0,0,0,0,90.1,0,6.9,1.4,0,0,0,0.1,1884,277,24,4,0.2,0.03,2248,29,0.24,417,5,5,0,1.12,0.01,1,1,0,0,18,75,87,0,0,6,9,1,3,0,0,0,0,Upper Missouri
16,593,MT00134,HEBGEN DAM, ,The Narrows,MT,44.8623,-111.3354,Gallatin,Madison River,HCSR,1915,100,75,120,4400,525620,386000,525620,22895954638,12407,540448920,19.3859375,50209392.02,50.20939202,905,2343.94095,579200,25231400000,318345.3973,97.03167709,60.29270817,3.862922077,42.36469681,0.20379528,1.694587872,75,0.564862624,17.1994,46.68332393,0.161499888,0.105454604,16814121400,476123280,476.12328,50.209,6534,1.00E+13,31251,10020007,0.45,1,10020007104,32139,2,20,80,0,1,0,0,0,0,0,4,57.7,1.2,13.6,15.4,5.5,0.8,0,0.8,2281,227,76,8,0.2,0.02,2484,83,0.22,5617,501,187,17,0.37,0.04,0,0,13,15,14,50,44,2,0,11,12,7,22,3,6,0.12186,0,Upper Missouri
17,594,MT00310,LAKE SEVENTEEN, ,Seventeen Mile Reservoir,MT,48.0837,-108.8669,BLAINE,DUCK CREEK,P,1935,80,14,14,0,5143,1874,5143,224028565.7,500,21780000,0.78125,2023430,2.02343,0,0,0,0,61009.80651,18.59578902,11.55489129,3.687783434,10.28597639,8.044756654,2.204137797,14,0.734712599,.,0,0.195326889,0.875359574,81631252.6,2311541.52,2.31154152,2.097,920.8,1.01E+13,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
18,595,MT00311,WEIGAND RESERVOIR, ,Weigand Reservoir,MT,48.2602,-108.4128,BLAINE,LONE TREE COULEE,P,1934,81,23,23,0,5600,5600,5600,243935440,1080.88,47083132.8,1.688875,4374170.037,4.374170037,0,0,0,0,106623.7197,32.49890976,20.19389276,4.383447933,5.180951765,4.704881102,0.675776317,23,0.225258772,1.9051,0,0.066914821,0.633250472,243935440,6907488,6.907488,4.374,773,1.01E+13,30586,10050009,0.28,1,10050009018,31463,5,84,15,1,2.2,5.9,0,0,0,0,0.1,0.1,0,3.5,76.5,0,11.7,0,0.2,729,227,4,1,0.18,0.06,866,4,0.21,3553,1588,18,8,2.09,0.91,3,1,10,5,28,0,0,1,0,4,3,51,89,3,3,0.03498,0.01219,Upper Missouri
19,596,MT00398,MCCARTER NORTH DAM, ,ND,MT,48.5125,-111.4038,TOOLE,WILLOW CREEK,I,1953,62,38,38,730,7000,1400,7000,304919300,960,41817600,1.5,3884985.6,3.8849856,463,1199.16537,296320,12908440000,.,0,0,0,7.291649927,0,0.575656573,38,0.191885524,.,308.6666667,0.099929038,2.249724125,60983860,1726872,1.726872,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
20,597,MT00447,MISSION LAKE (GLACIER), ,Mission Lake,MT,48.5672,-112.601,GLACIER,SPRING CREEK,R,1965,50,10,15,0,5200,5200,5200,226511480,755.118,32892940.08,1.179871875,3055856.829,3.055856829,0,0,0,0,44653.29583,13.61032457,8.457066309,2.196326348,6.886325134,2.121939642,2.06589754,10,0.688632513,.,0,0.1064098,0.476428296,226511480,6414096,6.414096,3.056,1205.2,1.00E+13,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
21,598,MT00502,KIPPS LAKE, ,Kipp Lake,MT,48.5665,-112.8422,GLACIER,TR-WILLOW CREEK,I,1939,76,10,17,0,1000,1000,1000,43559900,311.568,13571902.08,0.486825,1260872.076,1.260872076,0,0,0,0,18423.80846,5.615576819,3.489358779,1.410761991,3.20956486,4.552629,0.962869458,10,0.320956486,5.0898,0,0.07720959,1.022207151,43559900,1233480,1.23348,1.261,1251.5,1.00E+13,31013,10030202,0.31,1,10030202056,31896,2,92,8,0,0.6,0.4,0,0,0,0,0,0,0,0,81.1,4.2,13.6,0,0,937,132,23,3,0.15,0.02,1058,26,0.17,3672,690,92,17,0.82,0.15,1,1,35,14,14,0,0,0,0,0,0,46,80,4,5,0.01319,0,Upper Missouri
22,599,MT00522,DEADMANS BASIN DIKE, ,Deadmans Basin Reservoir,MT,46.3187,-109.4054,WHEATLAND,TR-MUSSELSHELL RIVER,I,1941,74,18,23,1080,34000,10800,34000,1481036600,2120,92347200,3.3125,8579343.2,8.5793432,7.3,18.906927,4672,203524000,42667.60752,13.00508677,8.080988859,1.252509777,16.03769903,0.976241772,2.672949839,18,0.89098328,.,2.203773585,0.147902543,0.644018249,470446920,13321584,13.321584,7.483,3892,1.00E+13,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
23,600,MT00553,"CHINOOK, NORTH", ,North Chinook Reservoir,MT,48.7673,-109.3152,BLAINE,LODGE CREEK-OFFSTREAM,I,1910,105,22,22,0,7500,7000,7500,326699250,523.026,22783012.56,0.817228125,2116612.998,2.116612998,0,0,0,0,55938.67219,17.05010728,10.59444888,3.305988037,14.33959838,1.974681075,1.955399779,22,0.651799926,.,0,0.266242181,0.245138377,304919300,8634360,8.63436,2.117,786.1,1.01E+13,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
24,601,MT00554,MCLAREN RESERVOIR,MT10023,ND,MT,48.8128,-109.4247,BLAINE,HAY COULEE,I,1937,78,30,30,1448,428,248,428,18643637.2,392,17075520,0.6125,1586369.12,1.58636912,35.2,91.167648,22528,981376000,.,0,0,0,1.091834228,0,0.109183423,30,0.036394474,.,57.46938776,0.023416133,5.185856015,10802855.2,305903.04,0.30590304,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
25,602,MT00559,HOLTER DAM, ,Holter Lake,MT,46.9913,-112.0035,Lewis and Clark,Missouri River,HC,1918,97,120,124,110000,306000,245000,306000,13329329400,523.026,22783012.56,0.817228125,2116612.998,2.116612998,17150,44418.3285,10976000,4.78E+11,204649.1279,62.37705417,38.75931692,12.09480923,585.0556139,0.206408066,14.62639035,120,4.875463449,5841.27,20985.57242,10.86268097,0.007003954,10672175500,302202600,302.2026,14.814,1090.6,1.00E+13,29155,10030101,2.27,5,10030101022,30024,2,66,33,1,0.9,1,0,0.1,0,0.2,0.7,33.3,0,15.9,35.9,4,5.2,0,2.8,455688,93035,10,2,0.05,0.01,520797,12,0.06,2612476,274131,60,6,0.51,0.06,6,3,16,25,15,25,15,13,2,9,7,13,36,4,11,0.21738,0.01295,Upper Missouri
26,603,MT00560,HAUSER DAM, ,Hauser Lake,MT,46.7649,-111.8863,Lewis and Clark,Missouri River,HCR,1911,104,120,125,116000,139890,64253,139890,6093594411,523.026,22783012.56,0.817228125,2116612.998,2.116612998,16876,43708.67124,10800640,4.71E+11,253112.0024,77.14853832,47.93789457,14.95897595,267.462189,0.973424293,6.686554725,120,2.228851575,6267.1,20650.29272,4.965949152,0.026706436,2798854255,79254790.44,79.25479044,12.913,1111.3,1.00E+13,29156,10030101,2.33,5,10030101031,30025,2,67,32,1,0.9,1,0,0.1,0,0.2,0.7,33.2,0,15.9,35.9,4,5.2,0,2.8,468249,94428,11,2,0.06,0.01,534418,12,0.06,2603302,270316,61,6,0.47,0.05,6,3,16,25,14,25,14,13,3,9,7,13,36,4,12,0.21542,0.01266,Upper Missouri
27,604,MT00561,MADISON DAM, ,Ennis Lake,MT,45.47,-111.6374,Madison,Madison River,HCSR,1907,108,33,39,7700,42053,41917,42053,1831824475,3900,169884000,6.09375,15782754,15.782754,2181,5648.76819,1395840,60806280000,70652.52987,21.5348911,13.38116524,1.529136227,10.78279576,0.41650515,0.98025416,33,0.326751387,1766.65,357.9076923,0.073316308,0.305253381,1825900328,51703781.16,51.70378116,15.207,1467.6,1.00E+13,28978,10020007,1.58,4,10020007005,29847,2,69,29,2,1.7,0.6,0,0,0,0.1,0.7,42.2,0.1,13.7,21.7,2.2,0.9,0,16.2,201615,31106,35,5,0.11,0.02,222132,38,0.12,1228673,89239,213,15,0.83,0.06,0,1,5,15,11,25,19,44,17,7,10,6,29,2,9,0.18226,0,Upper Missouri
28,605,MT00563,MORONY, ,ND,MT,47.5813,-111.0595,CASCADE,MISSOURI R,H,1929,86,93,107,153000,13889,13598,13889,605003451.1,304,13242240,0.475,1230245.44,1.23024544,23292,60326.04708,14906880,6.49E+11,.,0,0,0,45.68739512,0,1.473786939,93,0.491262313,.,49035.78947,1.112656523,0.073347382,592327520.2,16772861.04,16.77286104,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
29,606,MT00568,CANYON FERRY, ,Canyon Ferry Lake,MT,46.65,-111.7333,LEWIS AND CLARK,MISSOURI RIVER,HCISR,1953,62,165,225,150000,2051000,1947000,2051000,89341354900,32798,1428680880,51.246875,132728914.3,132.7289143,15860,41077.2414,10150400,4.42E+11,506191.978,154.2873149,95.86972349,3.777829392,62.53415731,0.064243938,1.136984678,165,0.378994893,20.3372,309.4822855,0.146620648,0.055267202,84811125300,2401585560,2401.58556,132.777,1157.3,1.00E+13,31137,10030101,0.49,1,10030101145,32040,2,16,72,12,11.8,0.6,0,0,0,0,0,39.7,0,5.8,34.2,0,7.9,0,0,1015,114,28,3,0.2,0.02,1200,33,0.24,2959,837,82,23,0.17,0.05,2,1,13,17,21,37,19,0,0,5,4,18,50,3,9,0.19562,0,Upper Missouri
30,607,MT00569,CLARK CANYON, ,Clark Canyon Reservoir,MT,44.99833,-112.8433,BEAVERHEAD,BEAVERHEAD RIVER,IC,1963,52,126,148,9700,328979,178062,328979,14330292342,5903,257134680,9.2234375,23888614.58,23.88861458,2315,5995.82685,1481600,64542200000,101264.4663,30.86540932,19.17888232,1.781441027,55.7306869,0.140529882,1.326921117,126,0.442307039,3.7736,250.9910215,0.308006242,0.108764609,7756362914,219635915.8,219.6359158,19.919,1689.2,1.00E+13,31223,10020001,0.29,1,10020001007,32117,2,100,0,0,2.1,0,0,0,0,0,0,1.3,0,47.9,48.5,0,0,0,0,311,48,11,2,0.16,0.02,383,14,0.19,1580,260,56,9,0.47,0.08,0,0,0,0,21,1,1,0,0,49,38,28,61,0,0,0.09936,0,Upper Missouri
31,608,MT00570,FRESNO, ,Fresno Reservoir,MT,48.59833,-109.92,HALL,MILK RIVER,ISC,1938,77,75,111,62000,229288,129062,229288,9987762351,6500,283140000,10.15625,26304590,26.30459,2828,7324.49172,1809920,78844640000,303080.147,92.3788288,57.40156136,5.08102784,35.27499594,0.580285808,1.410999838,75,0.470333279,10.7835,278.4492308,0.185785496,0.165234615,5621927814,159195395.8,159.1953958,20.262,783.3,1.01E+13,31047,10050002,0.38,1,10050002018,31931,5,78,20,2,0,0.4,0,0,0,0.2,0,0,0,3.1,23.6,0,72.5,0,0.2,799,169,7,2,0.36,0.08,909,8,0.41,6863,1038,63,10,0.71,0.11,1,1,64,45,13,0,0,1,0,2,3,10,34,8,18,0.09194,0.0105,Upper Missouri
32,609,MT00571,GIBSON, ,Gibson Reservoir,MT,47.59583,-112.7394,"TETON, LEWIS AND CLARK",NORTH FORK SUN RIVER,I,1928,87,196,199,50000,121981,99059,121981,5313480162,1370,59677200,2.140625,5544198.2,5.5441982,575,1489.24425,368000,16031000000,76598.5047,23.34722423,14.5072972,2.797117896,89.03702188,0.191077347,1.362811559,196,0.45427052,781.588,268.6131387,1.021437633,0.045374588,4315000134,122187295.3,122.1872953,5.222,4725,1.00E+13,31001,10030104,1.48,3,10030104022,31884,2,98,0,2,0.1,0.1,0,0,0,0,0.1,78,0,5.9,9.9,0,0,0,5.8,125146,15599,92,11,0.17,0.02,135467,99,0.18,259423,20427,190,15,0.38,0.03,0,0,0,0,16,59,73,16,0,4,7,4,19,0,0,0.18331,0.01068,Upper Missouri
