"RESID","SHALLOW","MUDFLAT","BKWATER","CONN_BW","CONN_TR","N_STRUC","SHAL_LZ","DIST_RZ","X_NUTRI","ALGAE","SEDIMEN","SHOREER","NOCOVES","SHOREHO","SUBSTHO","STATE","RESINFO","RESNAME1","LONGITUDE","LATITUDE","CLUSID"
"AL47",1,1,1,1,2,2,1,1,0,0,2,1,1,1,1,"AL",47,"Yates",-85.8893,32.5744,"SAP                1"
"AL48",1,1,1,2,2,3,1,1,1,2,2,1,1,2,1,"AL",48,"Big Creek Lake",-88.340778,30.717341,"CPL                3"
"AL6",1,1,2,2,3,2,1,3,2,1,4,4,4,3,4,"AL",6,"Claiborne Lake",-87.55,31.615,"CPL                4"
"AL7",1,1,2,3,3,4,2,4,4,2,4,4,4,4,4,"AL",7,"Coffeeville",-88.12833,31.75667,"CPL                4"
"AL8",2,2,0,0,2,0,2,2,2,1,3,3,2,2,1,"AL",8,"Demopolis Reservoir",-87.88,32.52,"CPL                3"
"AL9",3,1,1,1,4,4,3,4,2,1,4,3,1,4,3,"AL",9,"Gantt Reservoir",-86.4796,31.4032,"CPL                4"
"AR10",2,4,1,1,1,3,4,1,1,1,2,1,2,2,2,"AR",10,"Blue Mountain Lake",-93.64333,35.10167,"SAP                1"
"AR11",1,0,2,2,2,1,1,1,0,0,1,1,1,1,1,"AR",11,"Brewer Lake",-92.60528,35.235,"SAP                1"
"AR12",0,0,0,0,0,5,0,1,0,0,0,1,0,2,1,"AR",12,"Bull Shoals",-92.57333,36.36333,"SAP                1"
"AR13",4,2,4,4,5,1,4,0,3,1,2,2,1,1,1,"AR",13,"Cane Creek Lake",-91.76889,33.93333,"CPL                3"
"AR14",1,1,2,2,0,3,1,4,1,1,2,1,2,3,3,"AR",14,"Lake Hamilton",-93.0265,34.4428,"SAP                1"
"AR15",0,3,3,3,2,3,3,3,2,2,4,3,3,2,2,"AR",15,"Pool 5 - Arkansas River",-92.10333,34.41167,"CPL                4"
"AR16",2,2,1,1,1,2,1,1,2,1,2,2,2,1,2,"AR",16,"Cox Creek Lake",-92.62167,34.17694,"CPL                3"
"AR18",3,4,3,4,4,1,3,4,4,4,4,4,3,3,2,"AR",18,"Dardanelle Lake",-93.16667,35.25,"SAP                3"
"AR19",1,2,4,4,3,3,2,4,3,1,3,3,3,2,2,"AR",19,"Pool 6/Little Rock Pool Arkansas River",-92.155,34.66667,"CPL                4"
"AR2",4,2,2,4,3,1,2,2,2,1,5,4,5,4,4,"AR",2,"Pool 9 Rockefeller Lake",-92.78667,35.125,"SAP                3"
"AR20",1,1,2,2,1,3,1,2,1,1,1,2,1,2,1,"AR",20,"DeGray Lake",-93.11,34.22,"SAP                1"
"AR21",2,1,3,3,2,2,2,1,1,1,1,2,2,2,2,"AR",21,"DeGray Reregulation Lake",-93.10333,34.23861,"SAP                3"
"AR23",1,0,0,0,0.121223909,1,0,0,2,3,2,1,1,1,1,"AR",23,"DeQueen",-94.38167,34.09833,"SAP                1"
"AR28",1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"AR",28,"Dierks",-94.1,34.145,"SAP                1"
"AR29",1,2,3,3,3,3,1,3,2,1,4,4,3,4,3,"AR",29,"Arkansas River Pool 4",-91.90333,34.24833,"CPL                4"
"AR3",1,0,3,3,1,3,1,4,1,0,1,1,1,3,2,"AR",3,"Lake Balboa",-92.89722,34.62639,"SAP                1"
"AR30",4,3,0,0,1,1,4,2,2,1,4,2,0,1,4,"AR",30,"Felsenthal",-92.11833,33.05333,"CPL                3"
"AR31",1,1,1,0,0,0,1,2,4,3,1,1,1,1,1,"AR",31,"Lake Charles",-91.13805,36.06361,"SAP                4"
"AR34",1,0,1,1,0,4,1,2,1,0,1,1,0,0,0,"AR",34,"Greers Ferry Lake",-92,35.525,"SAP                1"
"AR38",1,0,1,1,1,1,1,1,1,0,1,1,1,2,2,"AR",38,"Harris Brake Lake",-92.775,34.98667,"SAP                1"
"AR4",2,2,2,2,2,1,2,1,1,1,1,1,0,1,1,"AR",4,"bear creek lake",-90.695,34.70833,"CPL                1"
"AR40",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,"AR",40,"Huckleberry Lake",-93.19028,35.37222,"SAP                1"
"AR41",2,1,3,3,1,2,2,4,1,1,1,1,2,4,4,"AR",41,"Hurricane Lake",-92.52972,34.61666,"SAP                1"
"AR42",1,1,1,2,1,3,1,1,1,1,3,2,3,2,2,"AR",42,"Arkansas River, Pool 13",-94.29167,35.35,"SAP                1"
"AR43",1,3,3,3,3,2,1,4,3,1,3,3,3,3,3,"AR",43,"Arkansas River Pool 3",-91.67833,34.165,"CPL                4"
"AR44",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"AR",44,"Lake Atkins",-92.94,35.21583,"SAP                1"
"AR45",3,3,1,1,1,0,4,3,1,1,5,2,1,0,1,"AR",45,"Calion Lake",-92.52834,33.325,"CPL                3"
"AR46",1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,"AR",46,"Lake Columbia",-93.40639,33.28806,"CPL                3"
"AR47",1,1,3,3,1,4,1,3,1,1,1,2,1,3,3,"AR",47,"Lake Coronado",-92.95389,34.655,"SAP                1"
"AR48",1,3,0,0,0,2,2,0,2,0,0,0,0,0,0,"AR",48,"lake des arc",-91.50833,35.02167,"CPL                1"
"AR49",1,0,1,0,0,0,0,1,2,0,1,1,1,1,0,"AR",49,"Lake Erling",-93.52528,33.05,"CPL                1"
"AR5",0,0,1,1,0,2,0,3,2,1,2,3,1,1,1,"AR",5,"Beaver Lake",-93.84833,36.41667,"SAP                1"
"AR50",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,"AR",50,"Lake Fort Smith",-94.14861,35.56111,"SAP                1"
"AR51",4,1,3,3,0,3,4,1,1,1,1,1,1,1,1,"AR",51,"Lake G-P",-92.04361,33.21972,"CPL                3"
"AR52",0,0,2,1,1,4,0,1,0,0,2,2,2,1,1,"AR",52,"Lake Maumelle",-92.48695,34.85361,"SAP                1"
"AR53",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"AR",53,"Lake Monticello",-91.85361,33.70028,"CPL                1"
"AR54",1,1,4,4,1,4,1,3,1,1,1,2,2,3,2,"AR",54,"Lake Norrell",-92.645,34.71833,"SAP                1"
"AR55",1,0,1,1,0,1,1,2,1,0,2,1,1,1,1,"AR",55,"Lake Overcup",-92.73333,35.19833,"SAP                1"
"AR56",1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,"AR",56,"Lake Poinsett",-90.67555,35.52333,"CPL                1"
"AR57",4,4,1,1,1,3,3,2,2,2,4,2,4,3,3,"AR",57,"Lake Sequoyah",-94.06861,36.06667,"SAP                3"
"AR6",1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,"AR",6,"Beaver Fork Lake",-92.44527,35.14333,"SAP                1"
"AR60",1,1,4,4,1,4,1,1,1,1,1,1,2,1,2,"AR",60,"Lake Winona",-92.85,34.79667,"SAP                1"
"AR61",3,3,0,0,2,1,3,1,3,0,3,1,2,1,2,"AR",61,"Lee Creek Reservoir",-94.4148,35.4866,"SAP                1"
"AR62",1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,"AR",62,"SWEPCO Lake",-94.54417,36.23917,"SAP                1"
"AR64",2,1,1,1,1,2,4,3,1,1,3,2,4,3,3,"AR",64,"Lower White Oak Lake",-93.09666,33.70167,"CPL                3"
"AR65",1,1,0,0,0,2,1,2,1,0,1,2,1,2,2,"AR",65,"Ludwig Lake",-93.45583,35.53333,"SAP                1"
"AR68",1,1,3,0,0,1,1,1,1,1,3,1,3,1,1,"AR",68,"Millwood Lake",-93.96167,33.695,"CPL                1"
"AR71",2,2,2,3,2,2,1,2,2,1,1,2,3,2,2,"AR",71,"Pool 7 Arkansas River",-92.35833,34.79167,"SAP                3"
"AR72",1,1,0,0,1,2,1,0,1,1,1,1,0,0,0,"AR",72,"Greeson",-93.715,34.14833,"SAP                1"
"AR73",3,3,1,1,1,1,3,1,3,0,3,2,1,1,1,"AR",73,"Nimrod",-93,34.95167,"SAP                1"
"AR74",0,0,0,0,0,5,0,1,0,0,0,1,0,2,1,"AR",74,"Norfork",-92.24,36.25,"SAP                1"
"AR76",0,0,0,0,1,2,1,1,1,1,1,1,0,1,1,"AR",76,"Ozark City Lake",-93.845,35.53,"SAP                1"
"AR77",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"AR",77,"Lake Hinkle",-94.25222,34.85278,"SAP                1"
"AR78",1,1,3,3,1,3,1,3,1,1,1,2,2,2,1,"AR",78,"Lake Catherine",-92.8939,34.4272,"SAP                1"
"AR8",4,4,1,0,0,2,4,0,0,0,4,1,0,0,0,"AR",8,"Lake Frierson",-90.72334,35.97055,"CPL                1"
"AR80",2,2,0,0,0,0,1,1,1,0,1,2,0,0,1,"AR",80,"storm creek lake",-90.61333,34.59667,"CPL                1"
"AR81",1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,"AR",81,"Sugar Loaf Lake",-94.395,35.09444,"SAP                1"
"AR83",5,1,4,4,1,2,4,1,1,1,4,1,3,1,1,"AR",83,"Tri-County Lake",-92.36166,33.78333,"CPL                3"
"AR84",2,2,4,4,1,3,2,1,1,1,1,2,1,1,2,"AR",84,"Irons fork Lake",-94.13028,34.64056,"SAP                1"
"AR85",1,1,1,1,0,3,1,1,1,1,1,1,1,2,1,"AR",85,"Booneville City Lake",-94.05833,35.13945,"SAP                1"
"AR86",3,2,1,2,2.32267806,1,2,2,0,1,3,2,4,3,4,"AR",86,"Upper White Oak Lake",-93.08667,33.66667,"CPL                3"
"AR87",0,1,0,2,3,2,1,4,3,1,4,3,4,4,4,"AR",87,"Dumas Pool",-91.31333,33.98833,"CPL                4"
"AR89",2,1,3,3,1,2,1,4,3,1,1,4,1,4,4,"AR",89,"Lake Saracen",-92.00739,34.236783,"CPL                3"
"AR9",1,1,2,2,1,1,1,2,1,1,2,2,1,2,2,"AR",9,"Lake Ouachita",-93.18833,34.57333,"SAP                1"
"AR90",1,0,0,0,0,1,1,1,2,1,1,1,0,0,0,"AR",90,"Bois d' Arc",-93.703558,33.55613,"CPL                1"
"AR91",0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,"AR",91,"Lake Barnett",-91.94639,35.2275,"SAP                1"
"AZ20",1,4,4,4,4,2,1,1,1,4,5,4,5,4,4,"AZ",20,"Patagonia Lake",-110.86944,31.49111,"XER                3"
"AZ24",0,0,0,0,0,4,0,0,1,0,5,2,2,0,1,"AZ",24,"Lyman Lake",-109.34111,33.07167,"WMT                2"
"AZ5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AZ",5,"Big Lake",-109.41722,33.88667,"WMT                1"
"CA100",0,0,0,0,2,4,0.92581517,1,2,1,3,3,3,3,2,"CA",100,"Folsom Lake",-121.1567,38.70755,"XER                3"
"CA11",2,3,2,1,1,2,3,4,1,2,1,1,1,1,1,"CA",11,"Big Bear Lake",-116.977,34.242,"WMT                2"
"CA129",2,4,4,4,4,2,2,2,4,4,3,3,3,3,3,"CA",129,"Lake Hodges",-117.128,33.045,"XER                3"
"CA141",4,4,2,2,2,2,3,2,4,5,3,2,3,3,3,"CA",141,"Iron Gate Reservoir",-122.4349,41.9342,"WMT                2"
"CA149",3,0,0,0,0,2,0,4,2,1,1,1,1,3,3,"CA",149,"Keswick Reservoir",-122.4454,40.61201,"XER                3"
"CA152",1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,"CA",152,"Lake Arrowhead",-117.167,34.262,"WMT                2"
"CA157",2,4,1,1,1,4,4,1,1,1,1,1,1,1,1,"CA",157,"Lake Hemet",-116.705,33.665,"WMT                2"
"CA158",1,1,3,3,2,3,1,1,2,3,3,3,3,3,3,"CA",158,"Loveland Reservoir",-116.792,32.782,"XER                3"
"CA165",1,2,1,1,1,3,3,2,2,1,2,2,2,3,4,"CA",165,"Lake Leavitt",-120.507,40.377,"XER                2"
"CA166",2,1,1,1,1,2,3,2,1,1,1,1,2,2,2,"CA",166,"Lewiston Lake",-122.793,40.72637,"WMT                2"
"CA185",0,0,0,0,0,2,1,1,1,0,0,0,0,2,2,"CA",185,"McCloud Reservoir",-122.0713,41.1309,"WMT                2"
"CA186",5,4,2,2,2,3,4,3,3,4,2,1,1,2,2,"CA",186,"Mc Coy Flat Reservoir",-120.942,40.453,"WMT                2"
"CA196",1,3,3,3,4,4,1,2,4,1,4,3,2,1,1,"CA",196,"Lake Berryessa",-122.1043,38.51337,"XER                3"
"CA197",2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,"CA",197,"Lake Morena",-116.55,32.685,"XER                3"
"CA2",1,0,1,5,3,4,1,1,1,1,2,2,2,1,3,"CA",2,"Anderson Lake",-121.6308,37.1676,"XER                3"
"CA214",1,3,1,1,0,4,1,2,1,1,1,1,1,1,1,"CA",214,"Perris Reservoir",-117.183,33.858,"XER                2"
"CA217",2,2,1,1,1,2,2,3,4,4,2,3,2,2,2,"CA",217,"Lake Britton",-121.6767,41.0218,"WMT                2"
"CA218",0,0,0,0,0,3,3,3,0,1,1.305496319,2.07019078,1.425977332,2.770009267,2.681474284,"CA",218,"Pitt 6 Reservoir",-121.9931,40.9224,"WMT                2"
"CA226",2,0,0,0,0,3,1,2,2,1,1,1,1,1,1,"CA",226,"Ruth Lake",-123.4332,40.3685,"WMT                2"
"CA23",5,4,4,4,3,4,4,2,2,2,2,1,1,2,2,"CA",23,"Big Sage reservoir",-120.625,41.578,"WMT                2"
"CA233",2,1,2,2,2,4,2,0,1,2,3,2,3,2,2,"CA",233,"Lake Skinner",-117.072,33.587,"XER                3"
"CA244",0,2,3,2,2,3,2,1,3,3,3,4,2,4,3,"CA",244,"San Pablo Reservoir",-122.26,37.943,"XER                3"
"CA245",1,1,1,1,1,3,1,1,1,2,2,3,3,2,2,"CA",245,"San Vicente Reservoir",-116.925,32.912,"XER                3"
"CA248",2,2,1,1,1,3,1,2,2,2,2,1,3,4,2,"CA",248,"Lower Otay Reservoir",-116.927,32.61,"XER                3"
"CA25",1,2,0,0,1,1,1,2,1,1,1,1,1,2,2,"CA",25,"Boca Reservoir",-120.0955,39.39009,"WMT                2"
"CA259",5,4,0,0,2,3,3,2,4,4,3,2,2,4,4,"CA",259,"Silva Flat",-120.922,40.968,"XER                3"
"CA272",1,1,1,1,1,3,2,2,3,2,2,2,2,3,3,"CA",272,"Sweetwater Reservoir",-117.007,32.692,"XER                3"
"CA28",1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,"CA",28,"Bowman Lake",-120.6527,39.4485,"WMT                2"
"CA282",3,2,2,1,1,3,3,5,1,1,1,2,1,3,3,"CA",282,"Trinity Reservoir",-122.7622,40.80111,"WMT                2"
"CA29",2,1,1,1,1,2,2,3,0,1,1,1,1,1,1,"CA",29,"Lake Siskiyou",-122.3285,41.2822,"WMT                1"
"CA291",2,1,4,4,3,4,2,1,1,0,2,1,2,1,1,"CA",291,"Uvas Reservoir",-121.69,37.067,"XER                3"
"CA299",1,1,1,0,0,4,1,3,1,0,1.136465833,1.411035715,0.722460306,2.053458475,1.7460538,"CA",299,"Whiskeytown Lake",-122.5395,40.59923,"XER                2"
"CA3",3,2,0,0,1,3,3,1,1,1,1,2,1,3,3,"CA",3,"Antelope Lake",-120.483,40.835,"XER                2"
"CA30",1,1,1,1,1,1,1,1,1,1,2,2,3,1,3,"CA",30,"Cachuma",-119.9815,34.58721,"XER                2"
"CA36",0,0,0,1,2,0,0,1,0,0,1,1,1,1,1,"CA",36,"Bucks Lake",-121.2038,39.8953,"WMT                1"
"CA40",2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,"CA",40,"Butt Valley Reservoir",-121.1461,40.1154,"WMT                2"
"CA43",3,4,4,4,2,5,4,2,1,1,1,1,1,1,1.431911575,"CA",43,"Lake Calero",-121.792,37.183,"XER                3"
"CA44",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,"CA",44,"Camp Far West",-121.3165,39.0501,"XER                3"
"CA46",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"CA",46,"Caples Lake",-120.0493,38.7066,"WMT                2"
"CA47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"CA",47,"Casitas",-119.3353,34.37144,"XER                2"
"CA49",0,1,2,1,0,4,1,2,1,2,1,1,1,4,4,"CA",49,"Castaic Lake",-118.6148,34.5263,"WMT                2"
"CA51",1,1,1,1,3,1,1,2,1,1,1,1,4,1,1,"CA",51,"Silverwood Reservoir",-117.3142,34.3046,"WMT                2"
"CA52",1,1,1,1,2,3,2,2,2,3,4,1,4,1,1,"CA",52,"Lake Chabot, (Alameda Co.)",-122.122,37.73,"XER                3"
"CA56",3,2,2,2,4,2,2,5,5,5,3,1,2,3,2,"CA",56,"Clear Lake",-122.5663,38.9227,"XER                3"
"CA64",4,4,3,3,3,4,4,3,4,4,3,2,2,3,3,"CA",64,"Copco",-122.3334,41.9794,"WMT                2"
"CA67",1,2,4,3,1,4,2,2,2,0,3,2,1,1,1,"CA",67,"Coyote Lake",-121.548,37.118,"XER                3"
"CA68",5,4,0,0,0,4,4,4,3,3,4,2,3,3,3,"CA",68,"Coyote Flat reservoir",-120.985,40.908,"WMT                2"
"CA72",3,2,2,2,2,3,3,2,1,2,3,2,2,4,4,"CA",72,"lake cuyamaca",-116.587,32.99,"XER                2"
"CA74",2,1,1,1,1,2,2,1,2,1,4,2,3,2,1,"CA",74,"Lake Del Valle, (Alameda Co.)",-121.745,37.615,"XER                3"
"CA75",1,1,0,0,0,2,1,1,1,2,1,3,2,3,3,"CA",75,"Diamond Valley Lake",-117.066,33.67,"XER                3"
"CA8",1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,"CA",8,"Lake Barrett",-116.67,32.678,"XER                3"
"CA82",4,4,3,3,3,4,3,2,2,3,4,3,2,3,3,"CA",82,"Dorris",-120.5,41.53333,"WMT                2"
"CA92",1,3,3,3,3,1,2,1,2,2,4,4,4,4,4,"CA",92,"El Capitan Reservoir",-116.81,32.883,"XER                3"
"CO117",0,1,4,4,0,3,0,1,0,0,0,0,0,0,0,"CO",117,"Mt Elbert Forebay",-106.3562,39.11186,"WMT                1"
"CO148",0,0,1,1,2,2,0,0,0,0,2,2,2,2,2,"CO",148,"Wolford Mountain Reservoir",-106.4153,40.11306,"WMT                2"
"CO166",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"CO",166,"Turquoise Reservoir",-106.3703,39.25167,"WMT                1"
"CO17",1,2,1,1,1,4,1,2,0,1,1,2,2,4,4,"CO",17,"Boyd Lake",-105.0244,40.42056,"SPL                3"
"CO189",0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,"CO",189,"Twin Lakes Reservoirs",-106.32303,39.08144,"WMT                1"
"CO23",1,0,3,2,0,3,1,1,2,1,1,1,2,1,2,"CO",23,"Chatfield Reservoir",-105.0583,39.55833,"SPL                1"
"CO26",0,1,0.483529529,0.409620855,0,1,0,1,0,0,1,1,2,1,1,"CO",26,"Clear Creek Reservoir",-106.2472,39.02167,"WMT                1"
"CO34",0,0,2,2,1,1,0,1,0,0,1,1,1,1,1,"CO",34,"Dillon Reservoir",-106.0656,39.61833,"WMT                1"
"CO51",0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,"CO",51,"Granby Reservoir",-105.8673,40.1487,"WMT                1"
"CT31",4,3,1,1,1,1,4,1,2,1,1,1,1,1,1,"CT",31,"Mansfield Hollow Reservoir",-72.18167,41.765,"NAP                1"
"CT38",4,0,0,0,0,0,4,2,2,1,1,1,1,1,1,"CT",38,"Moodus Reservoir",-72.42667,41.51333,"NAP                1"
"CT42",4,2,1,1,1,2,5,3,4,1,3,2,1,1,1,"CT",42,"Pachaug Pond",-71.93,41.58167,"NAP                2"
"CT50",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,"CT",50,"Saugatuck Reservoir",-73.35,41.24833,"NAP                1"
"CT54",0,2,4,1,1,3,1,1,4,3,1,2,1,1,1,"CT",54,"Lake Lillinonah",-73.2964,41.4479,"NAP                1"
"CT56",1,1,4,1,1,4,1,1,4,1,1,1,1,1,2,"CT",56,"Lake Zoar",-73.1721,41.3832,"NAP                1"
"CT6",0,0,4,3,0,1,1,3,3,1,0,2,3,2,1,"CT",6,"Candlewood Lakes",-73.45,41.425,"NAP                1"
"CT60",4,1,1,1,1,1,3,2,1,1,1,1,1,1,1,"CT",60,"Williams Pond",-72.30167,41.63,"NAP                1"
"CT7",3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,"CT",7,"Colebrook River Reservoir",-73.03667,42,"NAP                1"
"FL110",0,1,1,1,1,1,3,2,3,1,2,1,2,2,2,"FL",110,"Rodman",-81.69,29.47,"CPL                3"
"FL12",1,0,4,3,1,3,1,1,4,2,0,3,1,0,0,"FL",12,"Edward Medard Reservoir",-82.16,27.91,"CPL                4"
"FL157",4,0,1,0,0,4,3,2,1,0,2,1,2,3,2,"FL",157,"Juniper Lake",-86.130438,30.770159,"CPL                1"
"FL158",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,"FL",158,"Deer Point",-85.587716,30.30139,"CPL                1"
"FL159",4,3,2,2,2.140326763,1,4,3,5,2.287154966,4,2,3.102799265,2.548208798,3,"FL",159,"Garcia",-80.670211,27.676839,"CPL                3"
"FL160",3,1.92255276,0,0,0,4,3,0,0,1,2,1,2,1,2,"FL",160,"Hurricane Lake",-86.758275,30.941102,"CPL                1"
"FL161",1,1,3,1,1,3,1,4,4,2,3,4,2.45404011,3.300611356,3.051877946,"FL",161,"Stick Marsh",-80.726366,27.807498,"CPL                3"
"FL4",5,0,0,3,2.239624558,3,3,1,0,0,0,0,5,0.975365481,0,"FL",4,"Tsala Apopka Chain of Lakes",-82.3,28.88,"CPL                1"
"FL74",0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,"FL",74,"Lake Rousseau",-82.61,29.02,"CPL                1"
"GA15",0,1,3,1,1,1,0,1,0,0,1,1,1,1,1,"GA",15,"Lake Sidney Lanier",-84.07333,34.16,"SAP                1"
"GA16",0,0,0,0,0,5,1,5,0,0,1,2,2,5,2,"GA",16,"Lake Burton",-83.5403,34.7937,"SAP                1"
"GA21",4,4,3,3,2,3,3,3,3,1,4,3,4,4,4,"GA",21,"Lake Blackshear",-83.9346,31.8368,"CPL                4"
"GA23",4,4,1,1,1,4,4,3,2,1,4,4,3,2,3,"GA",23,"Lake Worth",-84.137,31.6026,"CPL                4"
"GA27",0,1,1,1,1,2,0,2,0,0,1,1,1,1,1,"GA",27,"Lake Hartwell",-82.48,34.21,"SAP                1"
"GA29",3,1,1,1,1,3,1,1,1,4,4,2,2,3,3,"GA",29,"High Falls",-84.02028,33.17972,"SAP                4"
"GA37",1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"GA",37,"Lake Juliette",-83.75528,33.03278,"SAP                1"
"GA42",1,1,2,2,3,2,1,4,1,1,3,2,2,3,3,"GA",42,"Lake Tobesofkee",-83.77055,32.81972,"SAP                1"
"GA48",1,3,1,1,2,1,1,4,3,4,3,1,4,4,2,"GA",48,"Jackson Lake",-83.8415,33.3206,"SAP                3"
"GA51",1,1,0,0,0,5,1,4,0,0,1,1,1,4,1,"GA",51,"Lake Rabun",-83.4162,34.7654,"SAP                1"
"GA54",3,1,0,0,0,5,1,3,0,0,1,1,0,2,1,"GA",54,"Lake Seed",-83.5012,34.7549,"SAP                1"
"GA56",0,0,5,0,3,3,1,2,0,0,2,3,2,2,2,"GA",56,"Lake Nottely",-84.092,34.958,"SAP                1"
"GA74",1,1,1,1,1,2,1,4,1,2,2,3,2,3,2,"GA",74,"Lake Sinclair",-83.2018,33.1405,"SAP                1"
